V1;V2;V3;V4;V5;V6
21514;215147;Roque Petroni Júnior;28/10/2015;60;50
26500;265004;Professor Vicente Rao;28/10/2015;60;50
34128;341282;Vereador João de Luca;28/10/2015;60;50
16276;162760;Rua Juan de La Cruz;28/10/2015;60;50
5606;56065;Avenida Cupecê;28/10/2015;60;50
31674;316741;Avenida Doutor Hugo Beolchi;30/10/2015;60;50
2235;22357;Engenheiro Armando de Arruda Pereira;30/10/2015;60;50
7882;78824;Engenheiro George Corbisier;30/10/2015;60;50
7500;75000;Avenida Prof. Francisco Morato;21/10/2015;60;50
14743;147435;Avenida Nossa Senhora do Sabará;21/10/2015;60;50
34276;342769;Avenida Emérico Richter;21/10/2015;60;50
