id_acidente	id_veiculo	tipo_veiculo	placa	sexo_condutor	idade_condutor	categoria_habilitacao	usa_cinto_seguranca	estado_alcoolizacao	escolaridade
D011400001	01	AU	DRZ1146	M	36	SI	X	BR	3
D011400001	02	BI	       	M	18	NE	X	BR	3
D011400002	01	MO	EII8360	M	22	SI	X	BR	3
D011400003	01	CA	DJM5614	M	61	HA	X	BR	5
D011400004	01	OU	DTE0295	M	43	HA	X	BR	5
D011400004	02	OU	DTB4851	M	46	HA	X	BR	3
D011400005	01	MO	EXJ0689	M	33	SI	X	BR	8
D011400006	01	MO	FID5196	M	42	SI	X	BR	7
D011400007	01	SI	       	X	SI	SI	X	BR	8
D011400008	01	AU	DMW4911	M	36	IN	X	BR	5
D011400008	02	AU	EXI9507	M	27	SI	X	BR	7
D011400009	01	CM	FDI9995	M	25	SI	X	BR	7
D011400009	02	MO	FJA2495	M	24	SI	X	BR	7
D011400010	01	SI	       	X	SI	SI	X	BR	8
D011400010	02	BI	       	M	21	NE	X	BR	3
D011400011	01	MO	DTF9893	M	48	SI	X	BR	3
D011400011	02	AU	MOJ6383	M	35	SI	X	BR	5
D011400012	01	MO	EQD8380	M	24	SI	X	BR	6
D011400012	02	AU	CSA0365	M	34	SI	X	BR	3
D011400013	01	AU	EEZ7262	M	66	SI	X	BR	5
D011400014	01	MO	FSJ5015	M	24	SI	X	BR	3
D011400014	02	AU	BIL3666	M	43	SI	X	BR	7
D011400015	01	AU	DZG4661	X	SI	SI	X	BR	8
D011400017	01	AU	HOD2951	M	31	SI	X	BR	5
D011400017	02	MO	DUV8984	M	26	SI	X	BR	5
D011400018	01	MO	EJR3540	M	45	SI	X	BR	5
D011400019	01	CA	DJM5672	M	42	SI	X	BR	5
D011400020	01	AU	DWM3655	M	59	SI	X	BR	5
D011400020	02	MO	DAA0109	M	20	SI	X	BR	3
D011400021	01	MO	EJR4118	M	45	SI	X	BR	5
D011400022	01	AU	EKY6427	X	SI	SI	X	BR	8
D011400022	02	MO	DFY7027	F	24	SI	X	BR	5
D011400023	01	OU	DTB7694	M	39	HA	X	BR	5
D011400024	01	AU	DIA6675	M	54	SI	X	BR	2
D011400025	01	AU	NLU6876	F	27	SI	X	BR	7
D011400025	02	MO	EJQ5460	M	60	SI	X	BR	7
D011400026	01	AU	EES4956	M	21	SI	X	BR	5
D011400027	01	OU	DJB0126	M	57	HA	X	BR	5
D011400027	02	MO	DHE6531	F	26	IN	X	BR	7
D011400028	01	AU	CGM2254	M	25	IN	X	BR	3
D011400028	02	AU	CRO1166	M	36	SI	X	BR	3
D011400030	01	ON	DJF8589	M	49	SI	X	BR	2
D011400030	02	CM	DJL8432	M	41	SI	X	BR	6
D011400031	01	AU	DQT3837	M	32	SI	X	BR	7
D011400031	02	MO	EXH7058	M	25	SI	X	BR	5
D011400032	01	AU	EKZ0140	M	29	SI	X	BR	5
D011400033	01	SI	       	X	SI	SI	X	BR	8
D011400034	01	CA	BTR6266	M	68	SI	X	BR	3
D011400034	02	AU	EBX8679	M	38	SI	X	BR	5
D011400035	01	OU	DTB5261	M	38	HA	X	BR	4
D011400036	01	AU	EUK7136	M	46	SI	X	BR	5
D011400037	01	MO	GIO1808	M	46	SI	X	BR	7
D011400038	01	MO	EQD2988	M	23	SI	X	BR	8
D011400039	01	SI	       	X	SI	SI	X	BR	8
D011400039	02	MO	EQS4023	M	31	SI	X	BR	7
D011400040	01	SI	       	M	56	SI	X	BR	7
D011400041	01	ON	EZL9415	M	61	SI	X	BR	2
D011400042	01	CM	FLR2336	F	26	SI	X	BR	7
D011400042	02	MO	EHT1464	M	31	SI	X	BR	5
D011400043	01	AU	ELP4456	F	47	SI	X	BR	5
D011400043	02	MO	DGF6201	M	32	SI	X	BR	7
D011400044	01	AU	EZB7786	M	59	SI	X	BR	5
D011400044	02	MO	EJN1181	M	24	SI	X	BR	5
D011400045	01	AU	FEX1318	M	67	SI	X	BR	3
D011400046	01	AU	DND1093	F	35	SI	X	BR	7
D011400046	02	BI	       	M	25	NE	X	BR	2
D011400048	01	AU	DWS5647	M	28	SI	X	BR	7
D011400048	02	AU	DWO0412	F	61	SI	X	BR	5
D011400049	01	CM	FHK3908	M	35	SI	X	BR	5
D011400049	02	MO	DZT1712	M	34	SI	X	BR	3
D011400050	01	SI	       	X	SI	SI	X	BR	8
D011400051	01	MO	BKZ6009	M	31	SI	X	BR	5
D011400052	01	MO	FAP6226	M	30	SI	X	BR	2
D011400053	01	MO	FFJ7170	M	19	SI	X	BR	3
D011400054	01	AU	DFS9886	F	33	IN	X	BR	5
