id_acidente	id_vitima	id_veiculo	sexo	idade	tipo_vitima	classificacao	tipo_veiculo	estado_alcoolizacao	escolaridade	data
D011300001	001	01	M	SI	PD	F	AU	BR	8	          
D011300002	001	01	M	24	CD	F	MO	BR	4	          
D011300003	001	01	M	35	CD	F	MO	BR	3	          
D011300004	001	01	M	33	CD	F	MO	BR	8	          
D011300005	001	01	M	20	PD	F	AU	BR	5	          
D011300006	001	01	F	50	PS	F	CM	BR	7	          
D011300006	002	02	M	21	CD	F	AU	BR	3	          
D011300006	003	02	M	SI	PS	F	AU	BR	8	          
D011300007	001	01	F	75	PD	F	AU	BR	8	          
D011300008	001	01	F	66	PD	F	CM	BR	8	          
D011300009	001	01	M	56	PD	F	MO	SA	8	          
D011300010	001	01	F	20	PS	F	MO	BR	5	          
D011300011	001	01	M	41	PD	F	SI	BR	8	          
D011300012	001	01	F	37	PS	F	CM	BR	5	          
D011300013	001	01	F	SI	PD	F	SI	BR	8	          
D011300014	001	01	M	31	PD	F	OU	SA	5	          
D011300014	002	01	M	33	PD	F	OU	SA	3	          
D011300015	001	01	F	56	PS	F	OU	BR	5	          
D011300016	001	01	F	50	PS	F	ON	BR	2	          
D011300017	001	01	M	17	PD	F	AU	BR	3	          
D011300018	001	01	M	28	PD	F	AU	BR	3	          
D011300019	001	01	F	58	PD	F	MO	BR	8	          
D011300020	001	01	M	80	PD	F	CA	BR	3	          
D011300021	001	01	M	68	CD	F	AU	BR	8	          
D011300021	002	02	M	42	CD	F	BI	BR	5	          
D011300023	001	02	F	28	CD	F	AU	BR	7	          
D011300024	001	01	M	30	CD	F	MO	BR	5	          
D011300024	002	01	F	26	PS	F	MO	BR	5	          
D011300025	001	01	M	23	CD	F	MO	BR	5	          
D011300026	001	01	M	45	PD	F	MO	BR	3	          
D011300027	001	02	M	25	CD	F	MO	BR	5	          
D011300027	002	02	F	27	PS	F	MO	BR	5	          
D011300028	001	01	M	SI	PD	F	AU	BR	8	          
D011300029	001	01	M	22	PS	F	AU	BR	8	          
D011300030	001	01	M	SI	PD	F	AU	BR	8	          
D011300031	001	01	F	34	CD	F	MO	BR	5	          
D011300032	001	01	M	45	PS	F	MO	BR	3	          
D011300033	001	01	M	35	CD	F	MO	BR	8	          
D011300034	001	02	M	40	CD	F	MO	BR	5	          
D011300035	001	01	M	25	PS	F	AU	BR	3	          
D011300036	001	01	M	67	PD	F	MO	BR	8	          
D011300037	001	01	F	43	CD	F	AU	BR	7	          
D011300038	001	01	M	23	CD	F	MO	BR	3	          
D011300040	001	01	M	33	SI	F	AU	BR	5	          
D011300042	001	01	M	48	PD	F	AU	BR	3	          
D011300043	001	01	M	48	PD	F	MO	BR	7	          
D011300044	001	01	M	44	PD	F	OU	BR	2	          
D011300045	002	02	M	63	CD	F	BI	BR	7	          
D011300045	001	01	F	33	CD	F	MO	BR	8	          
D011300046	001	02	F	44	PS	F	MO	BR	3	          
D011300047	001	01	M	51	PD	F	CM	BR	8	          
D011300048	001	01	M	39	PD	F	MO	BR	2	          
D011300049	001	02	M	40	CD	F	BI	BR	5	          
D011300050	001	02	M	65	CD	F	MO	BR	8	          
D011300050	002	02	F	34	PS	F	MO	BR	8	          
D011300051	001	01	M	SI	PD	F	ON	BR	8	          
D011300053	001	01	F	55	PD	F	MO	BR	3	          
D011300054	001	01	M	73	CD	F	MO	BR	3	          
D011300055	001	01	M	30	PD	F	OU	BR	3	          
D011300056	001	01	M	25	CD	F	MO	BR	5	          
D011300057	001	01	F	47	PD	F	AU	BR	5	          
D011300058	001	01	M	27	CD	F	MO	BR	3	          
D011300059	001	01	M	32	CD	F	MO	BR	3	          
D011300059	002	01	F	51	PS	F	MO	BR	8	          
D011300060	001	01	M	29	CD	F	MO	BR	5	          
D011300061	001	01	F	16	PD	F	AU	BR	3	          
D011300062	001	01	M	35	PD	F	AU	BR	8	          
D011300063	001	01	M	27	CD	F	MO	BR	5	          
D011300064	001	01	F	21	PS	F	MO	BR	2	          
D011300065	001	01	F	65	PD	F	OU	BR	8	          
D011300066	001	01	M	32	CD	F	AU	BR	7	          
D011300067	001	01	F	61	PS	F	ON	BR	5	          
D011300068	001	01	M	35	CD	F	MO	BR	5	          
D011300069	001	01	M	33	CD	F	MO	BR	7	          
D011300070	001	01	F	76	CD	F	AU	BR	3	          
D011300072	001	01	M	35	CD	F	MO	BR	5	          
D011300073	001	01	F	28	CD	F	AU	BR	7	          
D011300074	001	01	M	19	PD	F	CM	BR	3	          
D011300075	001	01	M	31	CD	F	MO	BR	5	          
D011300076	001	01	M	62	CD	F	OU	BR	8	          
D011300077	001	01	F	55	PD	F	AU	BR	3	          
D011300078	001	01	F	SI	PD	F	MO	BR	8	          
D011300079	001	01	F	85	PD	F	AU	BR	5	          
D011300079	002	01	F	64	PD	F	AU	BR	7	          
D011300080	001	01	F	22	PD	F	AU	BR	4	          
D011300081	001	01	M	44	CD	F	MO	BR	3	          
D011300082	001	01	M	26	CD	F	MO	BR	3	          
D011300083	001	01	F	74	PD	F	AU	BR	7	          
D011300084	001	01	M	26	CD	F	MO	BR	5	          
D011300085	001	01	M	55	CD	F	MO	BR	7	          
D011300086	001	01	F	17	PD	F	AU	BR	3	          
D011300087	001	02	M	31	CD	F	BI	BR	7	          
D011300088	001	01	F	42	PD	F	CM	BR	8	          
D011300088	002	01	M	SI	PD	F	CM	BR	8	          
D011300089	001	01	M	SI	PD	F	SI	BR	8	          
D011300090	001	01	F	36	PD	F	OU	BR	2	          
D011300091	001	02	M	41	CD	F	MO	BR	2	          
D011300092	001	02	M	36	CD	F	MO	BR	7	          
D011300093	001	01	M	19	PD	F	MO	BR	3	          
D011300094	001	01	M	28	CD	F	MO	BR	5	          
D011300095	001	01	M	23	CD	F	MO	BR	8	          
D011300097	001	01	F	48	CD	F	MO	BR	5	          
D011300098	002	02	F	71	CD	F	AU	BR	8	          
D011300098	003	02	M	19	PS	F	AU	BR	3	          
D011300098	001	01	M	80	CD	F	AU	BR	8	          
D011300099	001	01	F	41	CD	F	MO	BR	5	          
D011300100	001	02	M	41	CD	F	MO	BR	5	          
D011300101	001	02	M	19	CD	F	MO	BR	5	          
D011300102	001	02	M	25	PS	F	MO	BR	8	          
D011300103	001	01	F	67	PD	F	AU	BR	3	          
D011300104	001	02	F	44	CD	F	AU	BR	6	          
D011300105	001	01	F	59	PD	F	CM	BR	3	          
D011300106	001	01	F	42	CD	F	AU	BR	8	          
D011300107	001	02	M	29	CD	F	MO	BR	8	          
D011300108	001	02	M	37	CD	F	MO	BR	3	          
D011300109	001	02	M	37	CD	F	MO	BR	7	          
D011300110	001	02	F	19	PS	F	AU	BR	8	          
D011300111	001	01	F	25	PD	F	AU	BR	5	          
D011300112	001	02	F	42	PS	F	MO	BR	7	          
D011300113	001	02	M	22	CD	F	MO	BR	5	          
D011300114	001	01	F	19	CD	F	AU	BR	5	          
D011300114	002	02	M	44	CD	F	MO	BR	7	          
D011300115	001	02	M	33	CD	F	MO	BR	5	          
D011300116	001	02	M	38	CD	F	MO	BR	2	          
D011300117	001	02	M	24	CD	F	MO	BR	3	          
D011300118	001	03	M	27	CD	F	MO	BR	7	          
D011300119	001	01	M	29	CD	F	MO	BR	5	          
D011300120	001	01	M	66	PD	F	CA	BR	8	          
D011300121	001	01	M	43	CD	F	MO	BR	5	          
D011300122	001	01	M	29	CD	F	MO	BR	3	          
D011300123	001	01	M	31	CD	F	MO	BR	5	          
D011300124	001	01	F	25	PD	F	AU	BR	8	          
D011300125	001	02	M	22	CD	F	BI	BR	8	          
D011300126	001	02	X	SI	CD	F	MO	BR	8	          
D011300127	001	01	M	45	PD	F	SI	BR	5	          
D011300128	001	01	F	37	CD	F	AU	BR	7	          
D011300129	001	01	M	39	CD	F	MO	BR	2	          
D011300129	002	02	M	41	CD	F	MO	BR	3	          
D011300130	001	01	M	27	PD	F	SI	BR	8	          
D011300131	001	01	F	36	CD	F	MO	BR	5	          
D011300132	001	01	M	SI	PS	F	AU	BR	8	          
D011300133	001	02	F	28	PS	F	AU	BR	7	          
D011300133	002	02	M	28	PS	F	AU	BR	7	          
D011300134	001	02	M	48	CD	F	MO	BR	8	          
D011300135	001	02	M	30	CD	F	MO	BR	5	          
D011300135	002	02	M	24	PS	F	MO	BR	5	          
D011300136	001	02	M	41	CD	F	MO	BR	5	          
D011300137	002	01	F	18	PS	F	CM	BR	8	          
D011300137	006	02	M	18	PS	F	AU	BR	3	          
D011300137	005	02	F	19	PS	F	AU	BR	5	          
D011300137	003	02	M	18	CD	F	AU	BR	4	          
D011300137	001	01	M	20	CD	F	CM	BR	3	          
D011300137	004	02	F	18	PS	F	AU	BR	3	          
D011300138	001	02	M	45	CD	F	MO	BR	8	          
D011300138	002	02	F	SI	PS	F	MO	BR	8	          
D011300140	001	02	M	29	CD	F	MO	BR	3	          
D011300140	002	02	M	29	PS	F	MO	BR	8	          
D011300141	001	01	M	57	CD	F	MO	BR	5	          
D011300142	001	02	M	55	CD	F	MO	BR	5	          
D011300143	001	02	M	31	CD	F	MO	BR	5	          
D011300143	002	02	F	30	PD	F	MO	BR	5	          
D011300144	001	02	M	34	CD	F	MO	BR	8	          
D011300145	001	02	M	34	CD	F	MO	BR	5	          
D011300146	001	01	M	47	CD	F	ON	BR	3	          
D011300147	001	01	M	52	PD	F	AU	BR	3	          
D011300148	001	02	M	47	CD	F	CM	BR	7	          
D011300149	001	01	M	29	PD	F	CA	BR	5	          
D011300150	001	01	M	SI	CD	F	MO	BR	8	          
D011300151	001	02	F	39	PS	F	MO	BR	3	          
D011300152	001	01	M	SI	PD	F	SI	SA	8	          
D011300154	001	01	F	19	PS	F	MO	BR	3	          
D011300155	001	01	F	52	PS	F	OU	BR	3	          
D011300156	001	02	F	38	CD	F	MO	BR	7	          
D011300157	001	01	M	80	CD	F	AU	BR	3	          
D011300157	002	02	M	51	CD	F	OU	BR	3	          
D011300157	003	02	F	29	PS	F	OU	BR	5	          
D011300158	001	02	M	25	CD	F	BI	BR	5	          
D011300159	001	02	M	36	CD	F	MO	BR	2	          
D011300160	001	02	M	26	CD	F	MO	BR	3	          
D011300161	001	01	M	22	PD	F	CA	BR	3	          
D011300162	001	02	M	32	CD	F	BI	BR	3	          
D011300163	001	01	M	33	CD	F	MO	BR	4	          
D011300164	001	02	F	72	PS	F	AU	BR	3	          
D011300165	001	01	F	22	PS	F	MO	BR	8	          
D011300166	001	01	F	64	PD	F	AU	BR	3	          
D011300167	001	01	F	21	PD	F	AU	BR	3	          
D011300168	001	01	M	20	CD	F	AU	BR	8	          
D011300169	001	01	F	SI	PS	F	AU	BR	8	          
D011300170	001	01	F	27	CD	F	BI	BR	7	          
D011300171	001	01	M	43	CD	F	CM	BR	3	          
D011300171	002	01	F	39	PS	F	CM	BR	8	          
