id_acidente	id_veiculo	tipo_veiculo	placa	sexo_condutor	idade_condutor	categoria_habilitacao	usa_cinto_seguranca	estado_alcoolizacao	escolaridade
D011300001	01	AU	DIS6516	M	21	SI	X	BR	5
D011300002	01	MO	EJP2473	M	24	SI	X	BR	4
D011300002	02	AU	EWV0566	M	33	SI	X	BR	3
D011300003	01	MO	ESE1669	M	35	SI	X	BR	3
D011300003	02	AU	BGK4224	X	SI	SI	X	BR	8
D011300004	01	MO	FFJ9640	M	33	SI	X	BR	8
D011300004	02	AU	       	X	SI	SI	X	BR	8
D011300005	01	AU	EME3911	F	28	SI	X	BR	5
D011300006	01	CM	FFG0699	M	49	SI	X	BR	3
D011300006	02	AU	CAE5689	M	21	IN	X	BR	3
D011300007	01	AU	EMT0639	M	SI	SI	X	BR	8
D011300008	01	CM	ESU5959	M	25	SI	X	BR	3
D011300009	01	MO	       	X	SI	SI	X	BR	8
D011300010	02	AU	EVD0782	F	39	SI	X	BR	5
D011300010	01	MO	ECR4319	M	21	SI	X	BR	7
D011300011	01	SI	       	X	SI	SI	X	BR	8
D011300012	01	CM	DYF1075	M	41	SI	X	BR	3
D011300013	01	SI	       	F	SI	SI	X	BR	8
D011300014	01	OU	CZZ5471	M	53	HA	X	BR	3
D011300015	01	OU	DTD0577	M	48	HA	X	BR	3
D011300015	02	AU	EEM4014	M	28	SI	X	BR	3
D011300016	01	ON	EZL5865	M	47	SI	X	BR	5
D011300017	01	AU	DTZ8600	M	27	SI	X	BR	8
D011300018	01	AU	EFY9230	M	40	SI	X	BR	5
D011300019	01	MO	DOI6393	M	28	SI	X	BR	5
D011300020	01	CA	AKN2209	M	29	SI	X	BR	5
D011300021	01	AU	DFM0968	M	68	SI	X	BR	8
D011300021	02	BI	       	M	42	NE	X	BR	5
D011300023	01	AU	GAB1837	F	SI	SI	X	BR	8
D011300023	02	AU	EDB1837	F	28	SI	X	BR	7
D011300024	01	MO	DZR6573	M	30	SI	X	BR	5
D011300025	01	MO	IAN8116	M	23	SI	X	BR	5
D011300025	02	CA	CUD0320	M	54	SI	X	BR	3
D011300026	01	MO	EXF5102	M	25	SI	X	BR	5
D011300027	02	MO	DYX9878	M	25	SI	X	BR	5
D011300027	01	AU	DZC6613	M	51	SI	X	BR	5
D011300028	01	AU	EQT1764	M	57	SI	X	BR	7
D011300029	01	AU	DWQ4805	M	33	SI	X	BR	7
D011300030	01	AU	FKF6160	M	30	SI	X	BR	5
D011300031	01	MO	DZL0770	F	34	SI	X	BR	5
D011300032	01	MO	DOH1907	M	35	SI	X	BR	5
D011300033	01	MO	DUY3240	M	35	SI	X	BR	8
D011300033	02	AU	EFU3777	M	53	SI	X	BR	3
D011300034	01	MO	DUZ0400	M	SI	SI	X	BR	8
D011300034	02	MO	EXD9907	M	40	SI	X	BR	5
D011300035	01	AU	       	M	SI	SI	X	BR	8
D011300036	01	MO	DZP5060	M	26	SI	X	BR	5
D011300037	01	AU	FAS4966	F	43	SI	X	BR	7
D011300038	01	MO	EQS9470	M	23	SI	X	BR	3
D011300040	01	AU	       	X	SI	SI	X	BR	8
D011300042	01	AU	FFE1912	M	25	SI	X	BR	5
D011300043	01	MO	EII8133	M	39	SI	X	BR	3
D011300044	01	OU	EZL9810	M	31	HA	X	BR	3
D011300045	01	MO	EJO4985	F	33	SI	X	BR	8
D011300045	02	BI	       	M	63	NE	X	BR	7
D011300046	01	AU	EXC9974	M	28	SI	X	BR	6
D011300046	02	MO	EPM8664	M	44	SI	X	BR	3
D011300047	01	CM	EVM6747	M	28	SI	X	BR	5
D011300048	01	MO	EXH2184	M	21	SI	X	BR	5
D011300049	02	BI	       	M	40	NE	X	BR	5
D011300049	01	AU	DTE4258	M	32	SI	X	BR	3
D011300050	01	AU	CZU5945	M	48	SI	X	BR	3
D011300050	02	MO	ESF3254	M	65	SI	X	BR	8
D011300051	01	ON	       	X	SI	SI	X	BR	8
D011300053	01	MO	CWY4502	M	44	SI	X	BR	3
D011300054	01	MO	EXB1068	M	73	SI	X	BR	3
D011300055	01	OU	DTB7265	M	45	HA	X	BR	3
D011300056	01	MO	EXK2427	M	25	SI	X	BR	5
D011300056	02	AU	       	X	SI	SI	X	BR	8
D011300057	01	AU	DPX5241	M	50	SI	X	BR	5
D011300058	02	OU	DTB2584	M	40	HA	X	BR	5
D011300058	03	CM	EUU3477	M	62	SI	X	BR	5
D011300058	01	MO	EII0620	M	27	SI	X	BR	3
D011300059	01	MO	ESR3048	M	32	HA	X	BR	3
D011300059	02	AU	DTT3225	M	48	SI	X	BR	5
D011300060	01	MO	EOI2371	M	29	SI	X	BR	5
D011300060	02	AU	DWP3795	F	19	SI	X	BR	5
D011300061	01	AU	DQK5706	M	33	SI	X	BR	7
D011300062	01	AU	       	X	SI	SI	X	BR	8
D011300063	01	MO	ESR3789	M	27	SI	X	BR	5
D011300063	02	AU	       	X	SI	SI	X	BR	8
D011300064	02	AU	DYH8143	M	33	SI	X	BR	6
D011300064	03	AU	EBS1278	M	26	SI	X	BR	6
D011300064	01	MO	EXH2619	M	26	IN	X	BR	4
D011300065	01	OU	EFW2461	M	40	HA	X	BR	3
D011300066	01	AU	EXM6264	M	32	SI	X	BR	7
D011300066	02	AU	ELW2576	M	41	SI	X	BR	5
D011300066	03	AU	FGB4718	F	61	SI	X	BR	8
D011300067	01	ON	       	M	SI	SI	X	BR	7
D011300068	01	MO	EJR8149	M	35	SI	X	BR	5
D011300069	01	MO	EOL1138	M	33	SI	X	BR	7
D011300069	02	AU	DNT9090	M	SI	SI	X	BR	8
D011300070	01	AU	DLM0665	F	76	SI	X	BR	3
D011300070	02	AU	EEJ5193	M	36	SI	X	BR	5
D011300072	01	MO	EQS8928	M	35	SI	X	BR	5
D011300072	02	AU	EQC6717	F	24	SI	X	BR	7
D011300073	01	AU	DGA8598	F	28	SI	X	BR	7
D011300073	02	AU	EMM3775	F	48	SI	X	BR	7
D011300074	01	CM	EQJ8701	F	SI	SI	X	BR	8
D011300075	01	MO	DZS5666	M	31	HA	X	BR	5
D011300076	01	OU	DTA3953	M	62	HA	X	BR	8
D011300076	02	CM	EPI7652	M	18	IN	X	BR	5
D011300077	01	AU	MIS1377	M	22	SI	X	BR	5
D011300078	01	MO	EHQ7141	F	24	SI	X	BR	7
D011300079	01	AU	EZL7372	M	58	SI	X	BR	4
D011300080	01	AU	KIU6119	M	61	SI	X	BR	5
D011300081	01	MO	DZO9290	M	44	SI	X	BR	3
D011300081	02	AU	EIA8497	M	65	SI	X	BR	7
D011300082	01	MO	EJQ0148	M	26	SI	X	BR	3
D011300083	01	AU	EZL9430	M	58	SI	X	BR	2
D011300084	01	MO	EJQ7965	M	26	SI	X	BR	5
D011300084	02	AU	EVK9402	M	32	SI	X	BR	7
D011300084	03	AU	CIY5685	M	53	SI	X	BR	6
D011300085	01	MO	EJM9240	M	55	SI	X	BR	7
D011300085	02	CM	EZI4871	M	31	SI	X	BR	8
D011300086	01	AU	FCB9929	M	36	SI	X	BR	5
D011300087	01	AU	       	M	25	SI	X	BR	5
D011300087	02	BI	       	M	31	NE	X	BR	7
D011300088	01	CM	ATD8741	M	47	SI	X	BR	5
D011300089	01	SI	       	X	SI	SI	X	BR	8
D011300090	01	OU	FCB2758	M	37	SI	X	BR	5
D011300091	01	AU	ETI7514	M	29	SI	X	BR	5
D011300091	02	MO	EHG4355	M	41	SI	X	BR	2
D011300092	01	AU	FGR8225	F	SI	SI	X	BR	8
D011300092	02	MO	DGS3658	M	36	SI	X	BR	7
D011300093	01	MO	       	X	SI	SI	X	BR	8
D011300094	01	MO	EJP1843	M	28	SI	X	BR	5
D011300095	01	MO	       	M	23	SI	X	BR	8
D011300097	01	MO	ESE3250	F	48	SI	X	BR	5
D011300098	01	AU	EEM3080	M	80	SI	X	BR	8
D011300098	02	AU	EBY7313	F	71	SI	X	BR	8
D011300099	01	MO	EOZ6051	F	41	SI	X	BR	5
D011300100	01	MO	EQR1430	M	25	SI	X	BR	8
D011300100	02	MO	ESK2187	M	41	SI	X	BR	5
D011300101	01	AU	EAL9577	F	44	SI	X	BR	5
D011300101	02	MO	EQP5603	M	19	SI	X	BR	5
D011300102	01	AU	EJE6570	F	69	SI	X	BR	5
D011300102	02	MO	FAP6127	M	30	SI	X	BR	5
D011300103	01	AU	NHF4608	M	20	SI	X	BR	5
D011300104	01	CA	EBN3759	M	46	SI	X	BR	3
D011300104	02	AU	DWS7047	F	44	SI	X	BR	6
D011300105	01	CM	FAG7696	M	44	SI	X	BR	2
D011300106	01	AU	DFH3635	F	42	SI	X	BR	8
D011300107	01	CM	DUJ8708	M	28	SI	X	BR	5
D011300107	02	MO	EFK5949	M	29	SI	X	BR	8
D011300108	01	AU	EBN1813	M	58	SI	X	BR	2
D011300108	02	MO	DUZ8103	M	37	SI	X	BR	3
D011300109	02	MO	DZQ7809	M	37	SI	X	BR	7
D011300109	01	AU	DEC2167	M	20	SI	X	BR	5
D011300110	01	AU	JGL2153	F	38	SI	X	BR	7
D011300110	02	AU	EZF0854	M	19	SI	X	BR	5
D011300111	01	AU	DOM7375	F	53	SI	X	BR	7
D011300112	01	AU	EEN9906	M	33	SI	X	BR	7
D011300112	02	MO	BRR5058	M	38	SI	X	BR	3
D011300113	01	AU	FBO3598	M	38	SI	X	BR	3
D011300113	02	MO	ECP2892	M	22	SI	X	BR	5
D011300113	03	MO	DZO8255	M	27	SI	X	BR	5
D011300114	01	AU	FBI0132	F	19	SI	X	BR	5
D011300114	02	MO	EBX4686	M	44	SI	X	BR	7
D011300115	01	AU	CVY2683	F	48	SI	X	BR	7
D011300115	02	MO	DRW0644	M	33	SI	X	BR	5
D011300116	02	MO	DZL9649	M	38	SI	X	BR	2
D011300116	01	AU	EBN1063	F	43	SI	X	BR	7
D011300117	01	AU	DSF0441	F	32	SI	X	BR	7
D011300117	02	MO	DZM7566	M	24	SI	X	BR	3
D011300118	01	CM	EMW2351	M	41	SI	X	BR	3
D011300118	02	CM	FHW4405	M	36	SI	X	BR	5
D011300118	03	MO	EXB1173	M	27	SI	X	BR	7
D011300119	02	MC	CDL8514	M	42	SI	X	BR	4
D011300119	01	MO	DZS4395	M	29	SI	X	BR	5
D011300120	01	CA	GEL0306	M	42	SI	X	BR	3
D011300121	01	MO	DUY4355	M	43	SI	X	BR	5
D011300122	01	MO	EXE7001	M	29	SI	X	BR	3
D011300122	02	CM	ELB2667	M	66	SI	X	BR	3
D011300123	01	MO	EQD8372	M	31	SI	X	BR	5
D011300123	02	AU	GLB4398	M	64	SI	X	BR	5
D011300124	01	AU	       	M	SI	SI	X	BR	8
D011300125	01	AU	EKX8227	M	31	SI	X	BR	7
D011300125	02	BI	       	M	22	NE	X	BR	8
D011300126	02	MO	HPL2120	X	SI	SI	X	BR	8
D011300126	01	AU	EEZ0805	M	59	SI	X	BR	8
D011300127	01	SI	       	X	SI	SI	X	BR	8
D011300128	01	AU	FIT8622	F	37	SI	X	BR	7
D011300128	02	AU	DMQ1455	M	52	SI	X	BR	5
D011300129	01	MO	DNP9966	M	39	SI	X	BR	2
D011300129	02	MO	EQE5483	M	41	SI	X	BR	3
D011300130	01	SI	       	X	SI	SI	X	BR	8
D011300131	01	MO	DVE0235	F	36	SI	X	BR	5
D011300132	01	AU	MPV1898	M	26	SI	X	BR	5
D011300132	02	AU	DUG0935	M	31	SI	X	BR	7
D011300133	02	AU	EME9516	M	25	SI	X	BR	8
D011300133	01	AU	DRI3977	M	30	HA	X	BR	7
D011300134	01	ON	FCB6792	M	49	SI	X	BR	3
D011300134	02	MO	ESE6769	M	48	SI	X	BR	8
D011300135	01	AU	EAM4639	M	20	SI	X	BR	5
D011300135	02	MO	EFH0309	M	30	SI	X	BR	5
D011300136	01	AU	DPR2918	M	27	SI	X	BR	3
D011300136	02	MO	EOS8731	M	41	SI	X	BR	5
D011300137	01	CM	ERL0055	M	20	SI	X	BR	3
D011300137	02	AU	FAA3365	M	18	SI	X	BR	4
D011300138	01	AU	CMR8941	M	50	SI	X	BR	3
D011300138	02	MO	ESE1058	M	45	SI	X	BR	8
D011300140	01	AU	FTA3839	M	44	SI	X	BR	5
D011300140	02	MO	DXL8863	M	29	SI	X	BR	3
D011300141	03	AU	AVC5318	M	37	SI	X	BR	8
D011300141	02	AU	DGL3489	F	58	SI	X	BR	7
D011300141	01	MO	DZT6976	M	57	SI	X	BR	5
D011300142	01	AU	DXE3531	M	30	SI	X	BR	2
D011300142	02	MO	DLW9160	M	55	SI	X	BR	5
D011300143	01	MO	       	M	35	SI	X	BR	3
D011300143	02	MO	       	M	31	SI	X	BR	5
D011300144	01	AU	CYR0777	M	34	SI	X	BR	5
D011300144	02	MO	DUV3217	M	34	SI	X	BR	8
D011300145	02	MO	DYS2462	M	34	SI	X	BR	5
D011300145	01	AU	DIP6416	M	72	SI	X	BR	3
D011300146	01	ON	DJE1446	M	47	SI	X	BR	3
D011300146	02	CA	AIK4136	M	34	SI	X	BR	8
D011300147	01	AU	FAG1078	F	26	SI	X	BR	7
D011300148	01	CM	EFV2865	M	46	SI	X	BR	5
D011300148	02	CM	DSO8029	M	47	SI	X	BR	7
D011300149	01	CA	       	X	SI	SI	X	BR	8
D011300150	01	MO	       	M	SI	SI	X	BR	8
D011300151	01	AU	DRQ1800	M	22	SI	X	BR	3
D011300151	02	MO	CMZ3939	M	30	SI	X	BR	3
D011300152	01	SI	       	X	SI	SI	X	BR	8
D011300154	02	AU	EEF1607	M	30	SI	X	BR	6
D011300154	01	MO	EJY7944	M	29	HA	X	BR	4
D011300155	01	OU	BJB5572	M	SI	HA	X	BR	8
D011300156	01	AU	DSR8922	M	35	SI	X	BR	7
D011300156	02	MO	CGT3482	F	38	SI	X	BR	7
D011300157	01	AU	DLA8654	M	80	SI	X	BR	3
D011300157	02	OU	ELW0686	M	51	HA	X	BR	3
D011300158	01	CM	ENO9789	M	63	SI	X	BR	5
D011300158	02	BI	       	M	25	NE	X	BR	5
D011300159	01	AU	FAH3843	M	29	SI	X	BR	7
D011300159	02	MO	JXR0714	M	36	SI	X	BR	2
D011300160	01	AU	ESN9995	F	44	HA	X	BR	7
D011300160	02	MO	DYZ9160	M	26	SI	X	BR	3
D011300161	01	CA	M      	X	SI	SI	X	BR	8
D011300162	01	AU	ELF6116	X	SI	SI	X	BR	8
D011300162	02	BI	       	M	32	NE	X	BR	3
D011300163	01	MO	BGX8582	M	33	SI	X	BR	4
D011300164	01	CA	CBM5002	M	48	SI	X	BR	5
D011300164	02	AU	BRJ0072	M	41	SI	X	BR	3
D011300164	03	CM	FVV1773	M	28	SI	X	BR	6
D011300165	01	MO	EHW7045	M	22	SI	X	BR	5
D011300165	02	AU	DIH1175	X	SI	SI	X	BR	8
D011300166	01	AU	       	M	38	HA	X	BR	5
D011300167	01	AU	EQY2788	F	33	SI	X	BR	7
D011300168	01	AU	ELV6386	M	20	SI	X	BR	8
D011300169	01	AU	CAA0983	M	33	IN	X	BR	5
D011300170	01	BI	       	F	27	NE	X	BR	7
D011300170	02	BI	       	X	SI	NE	X	BR	8
D011300171	01	MO	DBR6741	M	43	SI	X	BR	3
D011300171	02	CM	DXH8976	M	33	SI	X	BR	8
D011300172	01	AU	DMV0446	M	40	SI	X	BR	7
D011300173	01	MO	DUY5224	M	35	SI	X	BR	5
D011300173	02	AU	       	M	52	SI	X	BR	8
D011300174	01	AU	DLG4913	M	39	SI	X	BR	8
D011300174	02	CM	EMT4180	M	44	SI	X	BR	5
D011300175	02	AU	ETS046 	M	40	SI	X	BR	2
D011300175	01	AU	DZA8965	M	20	IN	X	SA	4
D011300176	01	AU	DEA0235	M	SI	SI	X	BR	8
D011300177	01	AU	DUG8610	M	44	HA	X	BR	7
D011300178	01	AU	EZL4250	M	33	SI	X	BR	3
D011300179	01	MO	CJG1354	M	31	SI	X	BR	4
D011300180	01	MO	ASQ4398	M	26	HA	X	BR	5
D011300181	01	SI	       	X	SI	SI	X	BR	8
D011300182	01	AU	DQO6433	M	39	SI	X	BR	5
D011300183	02	AU	CAE0350	M	90	HA	X	BR	7
D011300183	01	MO	EQS5641	M	34	HA	X	BR	3
D011300184	01	OU	       	X	SI	SI	X	BR	8
D011300185	01	AU	FCB6502	F	SI	SI	X	BR	8
D011300186	01	MO	CHG0442	M	38	SI	X	BR	5
D011300187	01	AU	CYH8167	M	34	SI	X	BR	3
D011300187	02	MO	DWU8979	M	33	IN	X	BR	6
D011300188	01	AU	EEH8957	F	48	SI	X	BR	7
D011300188	02	MO	DYX0337	M	39	SI	X	BR	7
D011300189	01	AU	ELQ6726	M	31	SI	X	BR	5
D011300189	02	OT	DEZ7627	F	67	SI	X	BR	8
D011300190	01	CM	FAD3232	F	39	SI	X	BR	7
D011300190	02	CM	ODK7386	M	SI	SI	X	BR	8
D011300191	01	AU	CWN8939	M	27	SI	X	BR	3
D011300192	01	CA	EAE5467	M	41	SI	X	BR	2
D011300192	02	AU	DSF2416	F	50	SI	X	BR	7
D011300193	01	AU	EXX0304	F	61	SI	X	BR	8
D011300193	02	MO	EIE8213	M	23	SI	X	BR	5
D011300194	01	CM	GEF1223	F	SI	SI	X	BR	8
D011300194	02	MO	DUZ0724	M	SI	SI	X	BR	8
D011300195	01	AU	DZM2405	F	27	SI	X	BR	7
D011300195	02	MO	DZM2535	M	41	SI	X	BR	5
D011300196	01	AU	CZD4813	F	32	SI	X	BR	7
D011300196	02	AU	DYC4521	M	39	SI	X	BR	5
D011300197	02	MO	EXL1022	M	34	SI	X	BR	8
D011300197	01	AU	DJD5137	M	63	SI	X	BR	3
D011300198	01	AU	DWI1583	M	26	SI	X	BR	5
D011300199	01	SI	       	X	SI	SI	X	BR	8
D011300200	01	MO	FAP1749	M	33	SI	X	BR	5
D011300201	01	OU	DTB0573	M	44	HA	X	BR	2
D011300202	01	AU	CKM2572	M	29	SI	X	BR	3
D011300203	01	MO	DAB6019	M	18	SI	X	BR	5
D011300203	02	AU	DQR0532	M	SI	SI	X	BR	8
D011300204	01	MO	EKC5922	M	49	SI	X	BR	7
D011300204	02	AU	DJF5868	M	58	SI	X	BR	3
D011300205	01	MO	DOE6278	M	29	HA	X	BR	5
D011300205	02	AU	EMS0526	M	35	HA	X	BR	4
D011300206	01	OU	DTA4010	M	53	HA	X	BR	3
D011300207	01	AU	EEW9427	M	58	SI	X	BR	3
D011300207	02	AU	DEB4651	M	26	SI	X	BR	6
D011300208	01	AU	ENT5756	M	21	SI	X	BR	6
D011300208	02	AU	ELA0152	F	SI	SI	X	BR	8
D011300209	02	AU	DZG7354	M	56	SI	X	BR	7
D011300209	01	AU	BTF9464	M	27	SI	X	BR	5
D011300210	01	MO	DZL2963	M	30	SI	X	BR	7
D011300210	02	AU	DXH3856	M	23	SI	X	BR	5
D011300211	02	AU	FDI5778	F	33	SI	X	BR	7
D011300211	01	MO	CDT9037	M	SI	SI	X	BR	8
D011300212	01	AU	FZE0402	M	33	SI	X	BR	5
D011300213	02	AU	EQT4138	M	46	SI	X	BR	7
D011300213	01	MO	EXL1634	M	23	IN	X	BR	5
D011300214	01	AU	CCA7543	M	25	SI	X	BR	3
D011300214	02	CM	FRJ2508	M	32	SI	X	BR	7
D011300215	01	SI	       	X	SI	SI	X	BR	8
D011300215	02	MO	DUY8684	M	40	SI	X	BR	5
D011300216	01	AU	CWV7696	M	33	SI	X	BR	7
D011300216	02	AU	CAO1103	M	48	SI	X	BR	5
D011300217	01	ON	DTE5669	X	SI	SI	X	BR	8
D011300218	02	AU	DQQ3566	M	28	SI	X	BR	3
D011300218	01	MO	EKI9666	M	34	SI	X	BR	3
D011300219	01	OU	DTA4214	M	50	HA	X	BR	3
D011300220	01	AU	JQH4608	M	32	SI	X	BR	5
D011300221	02	AU	DIM3547	F	31	SI	X	BR	7
D011300221	01	MO	EXG6293	M	29	SI	X	BR	6
D011300222	01	AU	EMU8879	M	57	SI	X	BR	5
D011300222	02	AU	EUY7142	M	22	IN	X	SA	3
D011300222	03	AU	DPN9851	F	55	SI	X	BR	7
D011300223	01	MO	DOA4703	M	28	SI	X	BR	3
D011300223	02	AU	EDU4190	M	61	SI	X	BR	7
D011300225	01	CM	CDV1961	M	55	SI	X	BR	5
D011300226	01	SI	       	X	SI	SI	X	BR	8
D011300227	02	MO	BYT0648	M	31	SI	X	BR	3
D011300227	01	CM	CBR7817	M	44	SI	X	BR	3
D011300228	01	AU	       	M	SI	SI	X	BR	8
D011300228	02	MO	DTO1381	M	28	SI	X	BR	3
D011300229	01	AU	       	X	SI	SI	X	BR	8
D011300229	02	BI	       	M	30	NE	X	BR	5
D011300230	01	AU	ELJ7135	M	46	SI	X	BR	8
D011300230	02	MO	DJU4563	M	SI	SI	X	BR	8
D011300231	01	MO	EJP7899	M	SI	SI	X	BR	8
D011300232	01	AU	FBZ9298	M	40	SI	X	BR	5
D011300232	02	MO	EXF1020	M	50	SI	X	BR	5
D011300234	01	AU	DYE1377	M	63	SI	X	BR	8
D011300234	02	BI	       	M	51	NE	X	BR	3
D011300235	02	MO	EQP2854	M	25	HA	X	BR	3
D011300235	01	AU	EMJ1448	F	49	HA	X	BR	7
D011300236	02	MO	ESE0827	M	25	SI	X	BR	5
D011300236	01	CA	FAO0516	M	54	SI	X	BR	5
D011300238	01	AU	CWH3971	M	51	SI	X	AA	3
D011300239	01	MO	       	X	SI	SI	X	BR	8
D011300240	01	MO	DUZ8069	M	29	SI	X	BR	5
D011300240	02	AU	CGF0392	M	46	SI	X	AA	3
D011300241	01	CM	DQZ5160	M	24	SI	X	BR	5
D011300241	02	CM	EUJ7024	M	36	SI	X	BR	5
D011300242	01	MO	DCN9557	M	28	SI	X	BR	5
D011300243	01	AU	       	X	SI	SI	X	BR	8
D011300244	01	MO	EJR1803	M	24	SI	X	BR	5
D011300244	02	AU	DRP6088	F	SI	SI	X	BR	8
