id_acidente	id_veiculo	tipo_veiculo	placa	sexo_condutor	idade_condutor	categoria_habilitacao	usa_cinto_seguranca	estado_alcoolizacao	escolaridade
D011100069	02	AU	HML6608	M	26	SI	X	SA	5
D011100070	01	AU	EFA1823	F	30	SI	X	BR	5
D011100070	02	AU	DRO6664	M	SI	SI	X	BR	8
D011100071	01	OU	CZZ8185	M	39	HA	X	BR	3
D011100072	01	MO	TRV1559	X	SI	SI	X	BR	8
D011100073	01	MO	CDP0951	M	39	SI	X	BR	8
D011100073	02	AU	DWQ0545	M	30	SI	X	BR	5
D011100074	01	MO	ECD6620	F	21	SI	X	BR	4
D011100074	02	AU	SI     	F	SI	SI	X	BR	8
D011100075	01	MO	DRW2776	M	27	HA	X	BR	8
D011100075	02	AU	ELK0981	M	29	HA	X	BR	7
D011100076	01	MO	EIE6777	F	SI	SI	X	BR	8
D011100076	02	AU	EUC7265	M	72	SI	X	BR	5
D011100076	03	AU	ECM4620	M	59	SI	X	BR	8
D011100076	04	CM	CRN2763	M	31	SI	X	BR	5
D011100077	01	OU	DTB9588	M	39	HA	X	BR	7
D011100078	01	CM	DVK2942	X	SI	SI	X	BR	8
D011100079	01	OU	DTA3946	M	47	HA	X	BR	3
D011100080	01	AU	BEX1517	F	28	SI	X	BR	7
D011100080	02	CM	CZD7465	M	23	SI	X	BR	7
D011100080	03	AU	NFR5746	M	28	SI	X	BR	5
D011100080	04	AU	EFU1648	M	48	SI	X	BR	3
D011100081	01	AU	EQM5642	F	38	SI	X	BR	5
D011100081	02	ON	DTE5068	M	63	SI	X	BR	3
D011100082	01	MO	DAC9598	M	30	SI	X	BR	5
D011100082	02	AU	EDR7216	M	50	SI	X	BR	7
D011100083	01	ON	DTB2578	M	43	SI	X	BR	3
D011100084	01	MO	DOU5748	M	27	SI	X	BR	5
D011100084	02	AU	DHK8993	M	27	SI	X	BR	3
D011100085	01	MO	DVE6381	M	26	HA	X	BR	7
D011100085	02	AU	EBB8144	M	27	HA	X	BR	7
D011100086	01	AU	DUM2064	M	29	SI	X	BR	8
D011100087	01	MO	EHY8665	M	27	SI	X	BR	7
D011100087	02	AU	CON8245	X	SI	SI	X	BR	8
D011100088	01	AU	BFD7044	M	49	SI	X	BR	8
D011100088	02	OU	DTA6347	M	61	HA	X	BR	8
D011100089	01	MO	EKJ0126	M	42	SI	X	BR	8
D011100089	02	AU	DRF1593	M	30	IN	X	BR	5
D011100090	01	AU	DLM3142	M	32	SI	X	BR	3
D011100091	01	OU	DTC3033	M	43	HA	X	BR	2
D011100092	01	MO	EJQ5722	M	25	SI	X	BR	5
D011100092	02	AU	DTX0402	F	49	SI	X	BR	6
D011100093	01	MO	DZP8986	M	27	SI	X	BR	5
D011100093	02	MO	DUY7365	M	25	SI	X	BR	3
D011100094	01	MO	EQE5310	M	21	SI	X	BR	3
D011100094	02	AU	DZK2736	F	47	SI	X	BR	8
D011100095	01	MO	DXD9745	M	19	SI	X	BR	5
D011100095	02	AU	DNT5279	M	31	SI	X	BR	7
D011100095	03	AU	EQJ2304	M	37	SI	X	BR	7
D011100096	01	MO	DHJ7749	F	29	SI	X	BR	3
D011100096	02	OU	DTB7696	M	45	HA	X	BR	8
D011100097	01	AU	DAY9945	M	25	SI	X	BR	7
D011100098	01	AU	CAL4578	M	27	SI	X	BR	5
D011100099	01	MO	EVA0000	X	SI	SI	X	BR	8
D011100099	02	AU	DWS2602	F	55	SI	X	BR	8
D011100099	03	AU	FIT0218	F	38	SI	X	BR	7
D011100099	04	AU	APM2317	M	41	SI	X	BR	5
D011100099	05	AU	HHM9104	M	28	SI	X	BR	7
D011100100	01	AU	CTM6824	M	23	SI	X	BR	5
D011100100	02	MO	DUY0033	M	36	SI	X	BR	8
D011100101	01	CM	EBS3868	M	21	HA	X	BR	5
D011100102	01	MO	ECS5889	F	39	SI	X	BR	5
D011100102	02	AU	EVD6716	F	38	SI	X	BR	7
D011100103	01	AU	DFR6472	M	50	SI	X	SA	8
D011100103	02	BI	SI     	M	33	NE	X	BR	8
D011100103	03	AU	KNU2036	M	41	SI	X	BR	3
D011100103	04	AU	GZS7448	X	SI	SI	X	BR	8
D011100104	01	AU	DSS9436	M	30	SI	X	BR	5
D011100105	01	AU	DGB5848	F	62	SI	X	BR	6
D011100105	02	MO	DJU5868	M	35	SI	X	BR	6
D011100106	01	AU	ERF5754	M	48	SI	X	BR	5
D011100107	01	AU	DMB4965	M	35	SI	X	BR	5
D011100107	02	MO	EJP3566	M	19	SI	X	BR	3
D011100108	01	AU	EMS0315	M	36	SI	X	BR	7
D011100109	01	AU	FUJ4562	M	43	SI	X	BR	7
