id_acidente	id_vitima	id_veiculo	sexo	idade	tipo_vitima	classificacao	tipo_veiculo	estado_alcoolizacao	escolaridade	data
D011100001	001	01	M	21	CD	F	AU	BR	7	          
D011100001	002	01	M	22	PS	F	AU	BR	5	          
D011100002	001	01	M	27	CD	F	MO	BR	7	          
D011100003	001	01	M	30	CD	F	MO	BR	5	          
D011100004	001	01	M	35	CD	F	AU	BR	5	          
D011100005	001	01	M	28	CD	F	MO	BR	7	          
D011100005	002	01	F	27	PS	F	MO	BR	5	          
D011100006	001	01	M	58	PD	F	MO	BR	8	          
D011100007	001	01	M	24	CD	F	AU	BR	8	          
D011100007	002	01	F	23	PS	F	AU	BR	8	          
D011100008	001	01	M	SI	CD	F	MO	BR	5	          
D011100008	002	01	M	23	PS	F	MO	BR	3	          
D011100009	001	01	M	32	PD	F	OU	BR	2	          
D011100010	001	01	M	35	PD	F	AU	BR	3	          
D011100011	001	01	M	46	PD	F	AU	BR	8	          
D011100012	001	01	M	20	PD	F	AU	BR	5	          
D011100013	001	01	M	52	CD	F	AU	BR	8	          
D011100014	001	01	M	28	CD	F	AU	BR	8	          
D011100015	001	01	F	47	PD	F	OU	BR	3	          
D011100016	001	01	M	56	PS	F	ON	BR	3	          
D011100017	001	01	M	63	PD	F	AU	BR	8	          
D011100018	001	01	M	40	PD	F	MO	BR	5	          
D011100019	001	01	F	67	PD	F	SI	BR	7	          
D011100020	001	01	M	30	PD	F	AU	BR	5	          
D011100021	001	01	M	36	PD	F	AU	BR	3	          
D011100022	001	01	M	42	PD	F	AU	BR	8	          
D011100023	001	02	M	12	CD	F	BI	BR	3	          
D011100024	001	01	F	31	CD	F	MO	BR	7	          
D011100025	001	01	M	28	PS	F	MO	BR	5	          
D011100026	001	01	M	37	CD	F	MO	BR	7	          
D011100027	001	01	M	22	PD	F	SI	BR	5	          
D011100028	001	01	M	25	CD	F	MO	BR	5	          
D011100029	001	01	M	31	PD	F	AU	BR	8	          
D011100030	001	02	M	26	CD	F	MO	BR	5	          
D011100031	001	01	M	29	CD	F	CA	BR	7	          
D011100032	001	01	F	SI	PD	F	ON	BR	8	          
D011100033	001	02	M	36	CD	F	BI	BR	8	          
D011100034	001	01	M	SI	PD	F	AU	BR	8	          
D011100035	001	02	M	38	CD	F	SI	BR	3	          
D011100035	002	02	M	13	PS	F	SI	BR	8	          
D011100036	001	02	M	36	CD	F	MO	BR	8	          
D011100037	001	01	F	47	PD	F	AU	BR	2	          
D011100038	001	01	M	27	CD	F	MO	BR	5	          
D011100038	002	01	F	28	PS	F	MO	BR	5	          
D011100039	001	01	M	24	CD	F	MO	BR	5	          
D011100039	002	01	M	10	PD	F	MO	BR	2	          
D011100040	001	01	M	30	CD	F	MO	BR	7	          
D011100041	001	01	M	34	CD	F	MO	BR	7	          
D011100042	001	01	M	46	CD	F	MO	BR	3	          
D011100042	002	01	M	SI	PD	F	MO	BR	8	          
D011100043	001	01	F	29	PD	F	OU	BR	8	          
D011100044	001	01	M	47	PS	F	CA	BR	3	          
D011100044	002	02	M	17	PS	F	CM	BR	5	          
D011100045	001	02	F	31	CD	F	CM	BR	7	          
D011100045	002	04	F	25	CD	F	AU	BR	8	          
D011100047	001	01	M	19	CD	F	MO	BR	3	          
D011100048	001	01	M	62	CD	F	MO	BR	7	          
D011100049	001	01	M	31	PD	F	OU	BR	8	          
D011100050	001	01	M	57	CD	F	AU	BR	8	          
D011100051	001	01	M	09	PD	F	AU	BR	3	          
D011100052	001	01	M	21	PD	F	AU	BR	3	          
D011100053	001	01	M	53	CD	F	AU	BR	7	          
D011100054	001	01	M	41	CD	F	AU	BR	8	          
D011100054	002	01	M	28	PS	F	AU	BR	5	          
D011100054	003	02	F	22	CD	F	AU	BR	3	          
D011100054	004	02	F	SI	PS	F	AU	BR	8	          
D011100055	001	01	M	50	CD	F	MO	BR	3	          
D011100055	002	01	M	SI	PD	F	MO	BR	8	          
D011100056	001	01	F	22	PD	F	MO	BR	5	          
D011100057	001	01	F	69	PD	F	MO	BR	3	          
D011100058	001	01	M	34	PD	F	MO	BR	5	          
D011100059	001	01	M	25	CD	F	MO	BR	3	          
D011100060	001	01	M	34	PD	F	AU	BR	3	          
D011100061	001	01	F	SI	PD	F	AU	BR	8	          
D011100062	001	01	M	25	CD	F	OU	BR	8	          
D011100062	002	01	F	22	PS	F	OU	BR	8	          
D011100063	001	01	F	71	PD	F	MO	BR	8	          
D011100064	001	01	M	SI	PD	F	AU	BR	8	          
D011100065	001	01	M	54	PD	F	CM	BR	2	          
D011100066	001	02	M	13	CD	F	BI	BR	2	          
D011100067	001	03	M	43	CD	F	MO	BR	3	          
D011100068	001	01	F	71	PS	F	AU	BR	3	          
D011100069	001	01	M	30	CD	F	MO	BR	3	          
D011100070	001	01	F	30	CD	F	AU	BR	5	          
D011100070	002	02	M	SI	CD	F	AU	BR	8	          
D011100071	001	01	M	52	PD	F	OU	BR	3	          
D011100072	001	01	M	43	PD	F	MO	BR	3	          
D011100073	001	01	M	39	CD	F	MO	BR	8	          
D011100074	001	01	F	21	CD	F	MO	BR	4	          
D011100075	001	01	M	27	CD	F	MO	BR	8	          
D011100075	002	01	M	21	PS	F	MO	BR	2	          
D011100076	001	01	F	SI	CD	F	MO	BR	8	          
D011100077	001	01	F	SI	PD	F	OU	BR	8	          
D011100078	001	01	F	26	PD	F	CM	BR	5	          
D011100079	001	01	X	SI	PD	F	OU	BR	8	          
D011100080	001	01	F	28	CD	F	AU	BR	7	          
D011100081	001	02	F	54	PS	F	ON	BR	7	          
D011100082	001	01	M	30	CD	F	MO	BR	5	          
D011100083	001	01	M	18	PD	F	ON	BR	3	          
D011100084	001	01	M	27	CD	F	MO	BR	5	          
D011100085	001	01	F	31	PS	F	MO	BR	5	          
D011100086	001	01	M	29	CD	F	AU	BR	8	          
D011100087	001	01	M	27	CD	F	MO	BR	7	          
D011100088	001	01	M	49	CD	F	AU	BR	8	          
D011100088	002	01	M	77	PS	F	AU	BR	3	          
D011100088	003	01	F	41	PS	F	AU	BR	3	          
D011100088	004	01	F	54	PS	F	AU	BR	5	          
D011100089	001	01	M	42	CD	F	MO	BR	8	          
D011100090	001	01	M	32	CD	F	AU	BR	3	          
D011100090	002	01	M	SI	PS	F	AU	BR	8	          
D011100090	003	01	M	29	PS	F	AU	BR	8	          
D011100091	001	01	M	SI	PD	F	OU	BR	8	          
D011100092	001	01	M	25	CD	F	MO	BR	5	          
D011100093	001	02	M	25	CD	F	MO	BR	3	          
D011100094	001	01	M	21	CD	F	MO	BR	3	          
D011100094	002	02	F	47	CD	F	AU	BR	8	          
D011100095	001	01	M	19	CD	F	MO	BR	5	          
D011100096	001	01	F	29	CD	F	MO	BR	3	          
D011100097	001	01	M	30	PD	F	AU	BR	5	          
D011100097	002	01	M	20	PD	F	AU	BR	5	          
D011100098	001	01	M	SI	PD	F	AU	BR	8	          
D011100099	001	01	M	32	PD	F	MO	BR	5	          
D011100100	001	02	M	36	CD	F	MO	BR	8	          
D011100101	001	01	F	27	PD	F	CM	BR	5	          
D011100102	001	01	F	39	CD	F	MO	BR	5	          
D011100103	001	02	M	33	CD	F	BI	BR	8	          
D011100104	001	01	M	30	CD	F	AU	BR	5	          
D011100105	001	02	M	35	CD	F	MO	BR	6	          
