MAPINFO_ID	ID_VEICULO	ID_ACIDENT	TIPO_VEICU	SEXO_CONDU	IDADE_COND	CATEGORIA_	USA_CINTO_	EST_ALCOOL	ESCOLARIDA
2535	01	D011501598	MO	M	38	SI	X	BR	5
2536	02	D011501598	ON	M	43	SI	X	BR	3
2537	01	D011501599	MO	M	26	SI	X	BR	5
2538	02	D011501599	AU	M	30	SI	X	BR	3
2539	01	D011501600	ON	M	67	SI	X	BR	3
2540	01	D011501601	AU	M	19	SI	X	BR	5
2541	01	D011501602	ON	M	47	SI	X	BR	3
2542	01	D011501603	AU	F	74	SI	X	BR	5
2543	01	D011501604	CA	M	51	SI	X	BR	8
2544	01	D011501606	MO	M	57	SI	X	BR	7
2545	02	D011501606	AU	M	37	SI	X	BR	7
2546	01	D011501609	AU	M	25	SI	X	BR	3
2547	01	D011501610	MO	M	38	SI	X	BR	3
2548	02	D011501610	AU	M	22	SI	X	BR	3
2549	01	D011501612	ON	M	52	SI	X	BR	3
2550	01	D011501613	MO	M	15	IN	X	BR	8
2551	01	D011501614	AU	M	28	SI	X	BR	5
2552	01	D011501615	ON	X	SI	SI	X	BR	8
2553	01	D011501616	MO	X	SI	SI	X	BR	8
2554	01	D011501617	MO	X	SI	SI	X	BR	8
2555	01	D011501618	AU	M	46	SI	X	BR	7
2556	01	D011501619	AU	M	47	SI	X	BR	7
2557	01	D011501620	AU	F	39	SI	X	BR	5
2558	02	D011501620	AU	M	21	SI	X	BR	5
2559	01	D011501621	AU	M	69	SI	X	BR	3
2560	02	D011501621	AU	X	SI	SI	X	BR	8
2561	03	D011501621	AU	M	38	SI	X	BR	5
2562	01	D011501622	AU	M	SI	SI	X	BR	7
2563	01	D011501623	MO	M	28	SI	X	BR	3
2564	02	D011501623	SI	X	SI	SI	X	BR	8
2565	01	D011501624	AU	M	40	SI	X	BR	5
2566	01	D011501625	AU	M	71	SI	X	BR	3
2567	01	D011501626	MO	M	34	SI	X	BR	3
2568	02	D011501626	AU	M	36	SI	X	BR	5
2569	01	D011501628	CA	M	38	SI	X	BR	2
2570	01	D011501638	MO	M	28	SI	X	BR	8
2571	01	D011501629	AU	M	57	SI	X	BR	3
2572	02	D011501629	AU	F	49	SI	X	BR	7
2573	01	D011500048	AU	F	26	SI	X	BR	7
2574	01	D011500086	AU	F	40	SI	X	BR	7
2575	01	D011500271	AU	F	SI	SI	X	BR	8
2576	02	D011500271	MO	M	40	SI	X	BR	7
2577	01	D011500423	OU	M	32	SI	X	BR	5
2578	01	D011500439	AU	M	34	SI	X	BR	7
2579	02	D011500439	AU	M	22	SI	X	BR	3
2580	01	D011500448	CA	X	SI	SI	X	BR	8
