id_acidente	id_veiculo	tipo_veiculo	placa	sexo_condutor	idade_condutor	categoria_habilitacao	usa_cinto_seguranca	estado_alcoolizacao	escolaridade
D011000001	02	MO	DJI5960	M	28	SI	X	BR	8
D011000001	01	CM	DYJ9237	M	54	SI	X	BR	8
D011000002	01	AU	HJT1890	M	47	SI	X	BR	8
D011000002	02	MO	DGH4481	M	26	SI	X	BR	5
D011000003	01	AU	DJF7353	M	47	SI	X	BR	3
D011000004	01	AU	EIO4672	M	30	SI	X	BR	3
D011000005	01	MO	DYZ9137	M	25	SI	X	BR	3
D011000006	01	AU	DDX8928	M	29	SI	X	BR	7
D011000006	02	MO	DHA0276	M	35	SI	X	BR	8
D011000007	01	AU	FCC1606	M	24	SI	X	BR	5
D011000007	02	MO	DRZ1809	M	27	SI	X	BR	5
D011000008	01	AU	EJI8942	M	19	SI	X	BR	6
D011000009	01	MO	EJR0963	M	25	IN	X	BR	5
D011000010	01	AU	CYB6217	M	32	SI	X	BR	3
D011000010	02	CO	       	M	SI	NE	X	BR	8
D011000011	01	CM	CHP8273	M	57	SI	X	BR	6
D011000011	02	MO	EJN0624	M	36	SI	X	BR	2
D011000012	01	AU	DPM0817	M	22	SI	X	BR	4
D011000013	01	AU	CPO3743	M	68	SI	X	BR	7
D011000013	02	MO	DAC3724	M	29	SI	X	BR	3
D011000014	01	MO	EEC6107	M	30	SI	X	BR	3
D011000015	01	AU	DSF2361	M	26	SI	X	BR	3
D011000016	01	AU	CRP7711	M	67	SI	X	BR	7
D011000017	01	AU	DUT0414	M	31	SI	X	BR	7
D011000018	01	AU	EAP4514	M	24	HA	X	BR	5
D011000018	02	MO	DUX4552	M	24	HA	X	BR	3
D011000019	01	AU	EDB3273	X	SI	SI	X	BR	8
D011000020	01	CA	ANR2161	M	49	SI	X	BR	2
D011000020	02	MO	DUV3189	M	21	IN	X	BR	3
D011000021	01	MO	BZX8827	M	27	SI	X	BR	5
D011000021	02	AU	EVA0000	X	SI	SI	X	BR	8
D011000022	01	AU	EDF921 	M	49	SI	X	BR	5
D011000023	01	CA	DJC9377	M	35	SI	X	BR	3
D011000023	02	CA	KSL6730	M	36	SI	X	BR	8
D011000024	01	ON	DTB8939	M	27	SI	X	BR	5
D011000025	01	AU	DZH1368	M	SI	SI	X	BR	8
D011000025	02	MO	CDI0521	M	27	SI	X	BR	5
D011000026	01	AU	DZF7241	F	26	SI	X	BR	7
D011000026	02	SI	EVA0000	X	SI	SI	X	BR	8
D011000027	01	CM	EEI3967	M	24	SI	X	BR	3
D011000028	01	CM	FWP7712	M	47	SI	X	BR	8
D011000029	01	AU	DTT1650	M	32	SI	X	BR	5
D011000030	01	AU	EMP9895	M	20	IN	X	SA	4
D011000030	02	AU	DGA9560	M	33	SI	X	BR	3
D011000030	03	CA	       	M	37	SI	X	BR	3
D011000031	01	MO	EEK6872	M	31	SI	X	BR	3
D011000032	01	MO	DLJ8825	M	45	SI	X	BR	5
D011000033	01	AU	CKE1931	M	22	IN	X	BR	3
D011000034	01	MO	DYV8251	M	21	IN	X	BR	5
D011000034	02	CM	FRA1587	M	38	SI	X	BR	5
D011000035	01	AU	CEK7059	F	43	IN	X	BR	8
D011000035	02	CM	EEO5083	M	43	SI	X	BR	8
D011000036	01	MO	DOE5856	M	43	SI	X	BR	8
D011000037	01	MO	EJP5975	M	20	SI	X	BR	7
D011000037	02	AU	DTB6449	M	52	SI	X	BR	8
D011000038	01	AU	EHX5656	M	21	SI	X	BR	5
D011000038	02	CM	INT4410	M	32	SI	X	BR	5
D011000039	01	MO	DUY0226	M	31	SI	X	BR	5
D011000039	02	AU	HLP3987	M	64	SI	X	BR	7
D011000040	01	MO	EIE540 	M	29	SI	X	BR	5
D011000041	01	AU	BST7480	M	54	SI	X	BR	5
D011000041	02	AU	DAE7403	M	42	SI	X	BR	5
D011000042	01	MO	DUV8717	M	23	SI	X	BR	5
D011000043	01	CA	CMW3119	M	53	SI	X	BR	3
D011000043	02	MO	DXM3482	M	36	SI	X	BR	5
D011000043	03	AU	DMK4378	M	46	SI	X	BR	5
D011000044	01	MO	DTF8803	M	25	SI	X	BR	5
D011000045	01	AU	DAR3594	F	36	IN	X	BR	5
D011000046	01	MO	DQV8801	M	21	SI	X	BR	5
D011000046	02	AU	IRC4258	M	26	SI	X	BR	5
D011000047	01	MO	DZQ6641	M	30	SI	X	BR	8
D011000047	02	MO	EIE1788	M	21	SI	X	BR	5
D011000047	03	CM	HFZ6544	M	57	SI	X	BR	8
D011000048	01	AU	CHI5655	M	26	SI	X	BR	5
D011000049	01	CM	CYW5736	M	53	SI	X	BR	5
D011000049	02	MO	DLH4313	M	28	SI	X	BR	7
D011000050	01	MO	DYW5185	M	40	SI	X	BR	8
D011000050	02	CM	DRK6587	M	41	SI	X	BR	5
D011000051	01	CA	IIC7198	M	56	SI	X	BR	3
D011000051	02	AU	CEB1842	M	28	SI	X	BR	6
D011000052	01	AU	HXM2990	M	28	SI	X	BR	3
D011000053	01	MO	EGY8974	M	24	SI	X	BR	5
D011000053	02	MO	EGY4337	M	26	SI	X	BR	5
D011000053	03	AU	DMH4494	M	38	SI	X	BR	7
D011000054	01	MO	DZP7925	M	32	SI	X	BR	8
D011000054	02	AU	EIE0148	M	78	IN	X	BR	8
D011000057	01	AU	EEY6225	F	25	SI	X	BR	8
D011000057	02	MO	DZT9796	M	26	HA	X	BR	4
D011000058	01	AU	DDT6571	M	34	SI	X	BR	3
D011000058	02	AU	BTA3553	M	54	SI	X	BR	7
D011000059	01	MO	DZO5468	M	30	SI	X	BR	5
D011000060	01	OU	DJB7986	M	45	HA	X	BR	2
D011000060	02	AU	EJA9685	M	30	SI	X	BR	5
D011000061	01	AU	KMY4484	M	46	SI	X	BR	7
D011000061	02	MO	ECP2942	M	21	SI	X	BR	3
D011000062	01	CM	DUO5509	M	29	SI	X	BR	5
D011000062	02	BI	       	M	SI	NE	X	BR	8
D011000063	01	MO	EVA0000	X	SI	SI	X	BR	8
D011000064	01	AU	DES3825	M	31	SI	X	BR	5
D011000064	02	AU	EKX6065	M	24	SI	X	BR	5
D011000065	01	MO	DJX2609	M	28	SI	X	BR	5
D011000065	02	AU	DVD8822	M	33	SI	X	BR	3
D011000066	01	AU	BIL2104	M	39	SI	X	BR	6
D011000067	01	AU	DAS5452	M	31	SI	X	BR	3
D011000068	01	AU	HHM7658	M	37	SI	X	BR	8
D011000068	02	MO	DRW4809	M	35	SI	X	BR	3
D011000069	01	AU	DJB8933	M	67	SI	X	BR	2
D011000069	02	MO	DXK2230	M	22	IN	X	BR	3
D011000070	01	MO	EFK9880	M	30	SI	X	BR	5
D011000071	01	AU	EUM0934	M	48	SI	X	BR	6
D011000071	02	MO	DLW4117	M	27	SI	X	BR	8
D011000072	01	MO	DOU2029	M	28	SI	X	BR	5
D011000073	01	OU	EVA0000	X	SI	HA	X	BR	8
D011000073	02	AU	DPN0380	M	22	SI	X	BR	5
D011000074	01	AU	EBS1094	M	36	HA	X	BR	3
D011000075	01	OU	CDL7506	M	46	HA	X	BR	5
D011000076	01	AU	DIB2592	M	53	SI	X	BR	8
D011000076	02	CM	EAL5575	M	40	SI	X	BR	8
D011000077	01	AU	DSI7587	F	45	SI	X	BR	6
D011000078	01	MO	EHS7183	M	35	SI	X	BR	8
D011000078	02	MO	EVA0000	X	SI	SI	X	BR	8
D011000079	01	ON	       	M	50	SI	X	BR	3
D011000080	01	AU	EVA0000	X	SI	SI	X	BR	8
D011000081	01	CM	BMG1071	M	58	SI	X	BR	3
D011000082	01	AU	DIQ1047	M	23	IN	X	BR	5
D011000082	02	AU	EJA7231	M	71	IN	X	BR	7
D011000083	01	AU	DIE0599	M	SI	SI	X	BR	8
D011000083	02	BI	       	M	27	NE	X	BR	7
D011000084	01	SI	EVA0000	X	SI	SI	X	BR	8
D011000085	01	AU	CBE3522	M	23	SI	X	BR	5
D011000086	01	ON	DTE1423	M	50	SI	X	BR	3
D011000086	02	AU	DJP7351	M	29	SI	X	BR	5
D011000086	03	MO	DZQ6680	M	67	SI	X	BR	8
D011000087	01	MO	DGY0153	M	42	SI	X	BR	5
D011000087	02	ON	EFW0612	M	52	SI	X	BR	2
D011000088	01	AU	AMP6011	M	21	IN	X	BR	6
D011000089	01	MO	ECL6663	M	45	SI	X	BR	3
D011000089	02	AU	DXT6997	M	35	SI	X	BR	7
D011000090	01	MO	DAG8163	M	38	SI	X	BR	2
D011000090	02	AU	EBL5293	X	SI	SI	X	BR	8
D011000091	01	MO	DYV0344	M	29	HA	X	BR	8
D011000091	02	AU	EVA0000	X	SI	SI	X	BR	8
D011000092	01	SI	EVA0000	X	SI	SI	X	BR	8
D011000093	01	MO	MCI8977	M	34	SI	X	BR	3
D011000093	02	AU	CDV3309	M	59	SI	X	BR	6
D011000094	01	MO	CDI3988	M	29	SI	X	BR	2
D011000094	02	CM	EBA8086	M	53	SI	X	BR	3
D011000095	01	AU	DOC5346	M	37	SI	X	BR	3
D011000096	01	MO	DZO7349	F	38	SI	X	BR	5
D011000096	02	AU	EBC9986	M	SI	SI	X	BR	8
D011000097	01	MO	DVH3836	M	30	SI	X	BR	2
D011000097	02	AU	EEZ4996	M	36	SI	X	BR	5
D011000098	01	OU	DTE1599	M	40	HA	X	BR	3
D011000098	02	CM	EJT0777	M	26	SI	X	BR	3
D011000099	01	AU	CQG3420	F	37	SI	X	BR	3
D011000099	02	AU	DMT4308	M	28	SI	X	BR	5
D011000100	01	MO	GZU5154	M	30	SI	X	BR	7
D011000100	02	AU	AOR5161	M	35	IN	X	BR	7
D011000101	01	MO	CHG1014	M	26	IN	X	BR	5
D011000101	02	AU	BEA1090	F	32	SI	X	BR	7
D011000102	01	MO	DAF1302	M	33	SI	X	BR	8
D011000103	01	AU	DIC0075	F	33	SI	X	SA	5
D011000103	02	CA	GOJ6796	M	51	SI	X	BR	8
D011000104	01	AU	DMT5099	M	34	HA	X	BR	7
D011000104	02	MO	DOI2484	M	30	HA	X	BR	8
D011000104	03	CA	DTD4365	M	21	SI	X	BR	5
D011000105	01	AU	DPR4338	F	27	SI	X	BR	5
D011000106	01	AU	HJP7378	M	29	SI	X	BR	5
D011000106	02	AU	COX3355	X	SI	SI	X	BR	8
D011000107	01	AU	ADI3909	M	21	SI	X	BR	5
D011000108	01	CM	DSP2562	M	33	SI	X	BR	5
D011000108	02	CA	CLT3748	M	32	SI	X	BR	2
D011000109	01	MO	DPD1944	M	23	SI	X	BR	8
D011000109	02	AU	EJV4115	X	SI	SI	X	BR	8
D011000110	01	OU	ECT7724	M	32	SI	X	BR	5
D011000111	01	MO	DZL5298	M	23	SI	X	BR	8
D011000111	02	CA	EBZ4762	M	51	SI	X	BR	2
D011000112	01	MO	CIF8998	M	37	SI	X	BR	6
D011000112	02	MO	DZO0180	X	SI	SI	X	BR	8
D011000113	01	AU	DLB2232	M	32	SI	X	BR	5
D011000114	01	MO	DRW5478	M	30	SI	X	BR	3
D011000114	02	CA	EBZ4763	M	46	SI	X	BR	5
D011000115	01	AU	EGT9625	F	24	SI	X	BR	5
D011000115	02	AU	DKS2364	X	SI	SI	X	BR	8
D011000116	01	MO	DZO2719	M	28	SI	X	BR	5
D011000116	02	AU	DTC5491	M	28	SI	X	BR	5
D011000117	01	OU	DJB5769	M	50	HA	X	BR	3
D011000117	02	CO	       	M	26	NE	X	BR	5
D011000118	01	AU	DRD3376	M	50	SI	X	BR	8
D011000118	02	AU	DRR7480	M	58	SI	X	BR	5
D011000118	03	MO	EJR1052	M	35	SI	X	BR	5
D011000119	01	AU	EBA6576	M	48	SI	X	BR	7
D011000120	01	MO	EJR0930	M	36	SI	X	BR	2
D011000120	02	CM	DQN3335	M	SI	SI	X	BR	8
D011000121	01	CM	ECT7327	M	45	SI	X	BR	5
D011000122	01	MO	DUV8789	M	29	SI	X	BR	5
D011000122	02	MO	DOH0169	M	34	SI	X	BR	5
D011000123	01	MO	DYW5429	M	23	SI	X	BR	7
D011000123	02	AU	DQZ3122	M	28	SI	X	BR	5
D011000124	01	OU	       	M	35	HA	X	BR	3
D011000125	01	MO	EII3950	M	23	IN	X	BR	8
D011000125	02	AU	BBG0333	M	20	SI	X	BR	6
D011000126	01	BI	       	M	23	NE	X	BR	6
D011000126	02	AU	DSI3614	M	36	SI	X	BR	5
D011000127	01	AU	DJH3614	M	27	SI	X	BR	7
D011000127	02	MO	DZN4731	M	28	SI	X	BR	7
D011000128	01	MO	EVA0000	X	SI	SI	X	BR	8
D011000128	02	MO	DUZ5193	M	28	SI	X	BR	3
D011000128	03	AU	EBU1784	M	31	SI	X	BR	7
D011000129	01	AU	DSC1570	M	29	SI	X	BR	5
D011000129	02	AU	DSS3264	M	24	SI	X	BR	7
D011000130	01	MO	DUW0483	M	27	IN	X	BR	5
D011000130	02	AU	CWX1630	M	SI	SI	X	BR	8
D011000130	03	AU	DWK5073	M	28	SI	X	BR	7
D011000131	01	AU	AGO5813	M	29	SI	X	BR	7
D011000132	01	CA	BKE4015	M	25	SI	X	BR	3
D011000133	01	ON	DTE5889	M	48	SI	X	BR	2
D011000134	01	AU	CVS7165	F	SI	SI	X	SA	8
D011000135	01	ON	DTB6818	M	49	SI	X	BR	8
D011000136	01	MO	EHR0269	M	24	SI	X	BR	3
D011000136	02	MO	DJU3345	X	SI	SI	X	BR	8
D011000137	01	ON	CZB2656	M	39	SI	X	BR	3
D011000137	02	CM	GTO4634	M	39	SI	X	BR	8
D011000138	01	AU	EGH6556	M	SI	SI	X	BR	8
D011000138	02	AU	EZN1331	F	55	SI	X	BR	5
D011000138	03	AU	DUJ2865	M	25	SI	X	BR	7
D011000138	04	AU	CLP7978	F	35	SI	X	BR	7
D011000139	01	AU	COV0275	M	48	SI	X	BR	8
D011000140	01	AU	EVA0000	X	SI	SI	X	BR	8
D011000142	01	MO	DNF3700	M	37	SI	X	BR	7
D011000142	02	AU	DZE0382	F	38	SI	X	BR	7
D011000143	01	MO	MEH4712	M	36	SI	X	BR	7
D011000143	02	AU	DOG1794	F	42	SI	X	BR	5
D011000144	01	AU	DEA6066	M	28	SI	X	BR	7
D011000144	02	AU	CPO2603	M	45	SI	X	BR	5
D011000145	01	AU	DON5021	F	58	HA	X	BR	7
D011000145	02	BI	       	M	18	NE	X	BR	8
D011000146	01	MO	       	M	22	SI	X	BR	3
D011000146	02	AU	EBX2398	M	27	HA	X	BR	6
D011000147	01	MO	EIE1129	M	23	SI	X	BR	8
D011000147	02	AU	FUI4203	F	30	SI	X	BR	8
D011000148	01	AU	EJG5643	M	28	SI	X	BR	3
D011000148	02	MO	DZQ9624	M	48	SI	X	BR	5
D011000149	01	MO	DRV3351	M	30	SI	X	BR	5
D011000149	02	AU	DOO1153	M	45	SI	X	BR	7
D011000150	01	MO	DZT7850	M	22	HA	X	BR	7
D011000151	01	CA	       	X	SI	SI	X	BR	8
D011000152	01	AU	CZK4149	M	28	SI	X	BR	7
D011000153	01	AU	DWS1136	M	33	IN	X	SA	5
D011000153	02	AU	CLF4789	M	22	SI	X	BR	6
D011000154	01	SI	       	X	SI	SI	X	BR	8
D011000155	01	AU	DZA8892	X	SI	SI	X	BR	8
D011000155	02	AU	ELM7695	M	51	SI	X	BR	5
