ID_VEICULO,ID_ACIDENT,TIPO_VEICU,PLACA,SEXO_CONDU,IDADE_COND,CATEGORIA_,USA_CINTO_,ESTADO_ALC,ESCOLARIDA,cod_acid,tipo_acidente
1,D031700291,MO,FAP9755,M,47,SI,X,BR,3,2,CO
2,D031700291,AU,DED8118,M,49,SI,X,BR,8,2,CO
1,D031700292,AU,,X,SI,SI,X,BR,8,4,AT
1,D031700293,CM,AYO8703,M,SI,SI,X,BR,8,4,AT
1,D031700294,MO,DZS9952,M,34,SI,X,BR,8,2,CF
2,D031700294,AU,CHI2233,X,SI,SI,X,BR,8,2,CF
1,D031700295,MO,FTX4559,M,55,SI,X,BR,5,2,CO
2,D031700295,AU,DEN2022,M,22,SI,X,BR,5,2,CO
1,D031700296,MO,EJP0749,M,26,SI,X,BR,5,2,CO
2,D031700296,MO,ECX5374,M,45,SI,X,BR,8,2,CO
1,D031700297,MO,EXA4572,M,47,SI,X,BR,3,2,QM
1,D031700298,AU,EML0442,M,30,SI,X,BR,3,4,AT
1,D031700299,MO,ESR6883,M,35,SI,X,BR,5,2,CF
2,D031700299,AU,FBX3516,M,33,SI,X,BR,5,2,CF
1,D031700300,MO,DNH5634,M,SI,SI,X,BR,8,2,SI
2,D031700300,AU,EYC0018,F,34,SI,X,BR,7,2,SI
2,D031700301,AU,DDP9568,M,36,IN,X,SA,3,2,CO
1,D031700301,MO,BHW0133,M,28,SI,X,BR,8,2,CO
1,D031700302,MO,EOZ2093,M,39,SI,X,BR,2,2,CO
2,D031700302,ON,FTI7704,M,53,SI,X,BR,5,2,CO
1,D031700303,AU,ALG5859,M,38,IN,X,BR,7,2,CH
1,D031700304,AU,FNL6703,F,31,SI,X,BR,7,2,CL
2,D031700304,AU,DUO4773,M,56,SI,X,BR,5,2,CL
3,D031700305,CM,DZE0560,M,56,SI,X,BR,4,2,CT
1,D031700305,AU,EJL3821,M,37,IN,X,BR,4,2,CT
2,D031700305,AU,CHY6218,M,41,SI,X,BR,3,2,CT
1,D031700306,MO,GCC3070,M,31,SI,X,BR,8,2,OU
1,D031700307,ON,,M,SI,SI,X,BR,8,2,QD
1,D031700308,AU,FOB7563,M,62,SI,X,BR,7,4,AT
1,D031700309,AU,GXY8813,F,48,HA,X,BR,5,2,CO
2,D031700309,CA,LLF6610,M,SI,HA,X,BR,8,2,CO
3,D031700309,AU,FOB1595,M,SI,HA,X,BR,8,2,CO
1,D031700310,MO,DUZ1522,M,23,SI,X,BR,5,2,CO
2,D031700310,CM,DOL9104,M,79,SI,X,BR,8,2,CO
1,D031700311,MO,FFN0165,M,27,SI,X,BR,3,2,CH
1,D031700312,ON,ELQ5939,M,41,SI,X,BR,8,4,AT
1,D031700313,MO,DCS1595,M,47,SI,X,BR,8,2,CO
2,D031700313,CM,EBO2768,M,22,SI,X,BR,3,2,CO
2,D031700314,AU,EAT4405,M,37,HA,X,BR,3,2,CO
3,D031700314,ON,OGE4360,M,34,HA,X,BR,2,2,CO
