id_acidente	id_veiculo	tipo_veiculo	placa	sexo_condutor	idade_condutor	categoria_habilitacao	usa_cinto_seguranca	estado_alcoolizacao	escolaridade
D011200001	01	CM	DSC5232	F	38	SI	X	BR	7
D011200001	01	CM	DSC5232	F	38	SI	X	BR	7
D011200002	01	AU	DSF9060	M	19	SI	X	BR	5
D011200002	01	AU	DSF9060	M	19	SI	X	BR	5
D011200003	01	MO	EXB8880	M	26	SI	X	BR	8
D011200003	01	MO	EXB8880	M	26	SI	X	BR	8
D011200004	01	MO	EOY6234	M	38	SI	X	BR	5
D011200004	01	MO	EOY6234	M	38	SI	X	BR	5
D011200005	01	SI	       	X	SI	SI	X	BR	8
D011200005	01	SI	       	X	SI	SI	X	BR	8
D011200006	01	MO	DZL0681	F	28	SI	X	BR	3
D011200006	01	MO	DZL0681	F	28	SI	X	BR	3
D011200007	01	ON	DTB2593	M	54	SI	X	BR	2
D011200007	01	ON	DTB2593	M	54	SI	X	BR	2
D011200008	01	OU	DJB5762	M	41	HA	X	BR	3
D011200008	01	OU	DJB5762	M	41	HA	X	BR	3
D011200009	01	CM	ETK7908	M	30	HA	X	BR	7
D011200009	02	CM	BPT5748	M	40	HA	X	BR	3
D011200009	01	CM	ETK7908	M	30	HA	X	BR	7
D011200009	02	CM	BPT5748	M	40	HA	X	BR	3
D011200010	01	SI	       	X	SI	SI	X	BR	8
D011200010	01	SI	       	X	SI	SI	X	BR	8
D011200011	01	AU	CRO3581	M	54	SI	X	BR	8
D011200011	01	AU	CRO3581	M	54	SI	X	BR	8
D011200012	01	AU	EYC8039	F	32	SI	X	BR	6
D011200012	02	MO	DUV3432	M	40	SI	X	BR	3
D011200012	01	AU	EYC8039	F	32	SI	X	BR	6
D011200012	02	MO	DUV3432	M	40	SI	X	BR	3
D011200013	01	AU	GOO4458	M	SI	SI	X	BR	8
D011200013	02	AU	LUE0857	M	61	SI	X	BR	7
D011200013	01	AU	GOO4458	M	SI	SI	X	BR	8
D011200013	02	AU	LUE0857	M	61	SI	X	BR	7
D011200015	01	MO	EFC7567	M	23	SI	X	BR	5
D011200015	01	MO	EFC7567	M	23	SI	X	BR	5
D011200016	01	MO	DUY8225	M	33	SI	X	BR	3
D011200016	01	MO	DUY8225	M	33	SI	X	BR	3
D011200017	01	AU	EGS0749	M	42	SI	X	BR	3
D011200017	02	AU	DWN4636	M	79	SI	X	BR	5
D011200017	01	AU	EGS0749	M	42	SI	X	BR	3
D011200017	02	AU	DWN4636	M	79	SI	X	BR	5
D011200018	01	OU	ECT1238	M	44	HA	X	BR	5
D011200018	01	OU	ECT1238	M	44	HA	X	BR	5
D011200019	01	BI	       	M	08	NE	X	BR	3
D011200019	02	AU	DQQ0189	M	28	SI	X	BR	6
D011200019	01	BI	       	M	08	NE	X	BR	3
D011200019	02	AU	DQQ0189	M	28	SI	X	BR	6
D011200020	01	MO	JLV6195	M	32	SI	X	BR	5
D011200020	01	MO	JLV6195	M	32	SI	X	BR	5
D011200021	01	SI	       	X	SI	SI	X	BR	8
D011200021	01	SI	       	X	SI	SI	X	BR	8
D011200022	01	AU	ATQ1905	F	28	SI	X	BR	5
D011200022	02	MO	EQD0584	M	20	SI	X	BR	3
D011200022	01	AU	ATQ1905	F	28	SI	X	BR	5
D011200022	02	MO	EQD0584	M	20	SI	X	BR	3
D011200024	01	AU	EFU7799	M	57	SI	X	BR	3
D011200024	02	MO	EKF3693	M	32	SI	X	BR	8
D011200024	01	AU	EFU7799	M	57	SI	X	BR	3
D011200024	02	MO	EKF3693	M	32	SI	X	BR	8
D011200025	01	AU	DST7648	M	24	SI	X	BR	5
D011200025	01	AU	DST7648	M	24	SI	X	BR	5
D011200026	01	MO	DOA0277	M	40	SI	X	BR	5
