X,Y,id_acidente,cadloga,logradouro_a,cadlogb,logradouro_b,alt_num,referencia,data,dia__semana,dia_semana,mes_acidente,hora,cod_acid,fonte,viatura,dp,talao,sentido,pista,automovel,moto,onibus,caminhao,bicicleta,moto_taxi,onibus_fretado,onibus_urbano,microonibus,van,vuc,caminhonete,carreta,jipe,outros,sem_informacao,carroca,feridos,mortos,dec,det_atz,get_atz,distrito,distrito_atz,pref_reg,folha,princ_a,princ_b,placa1,tipo_placa1,placa2,tipo_plac2,placa3,tipo_plac3,tipo_acidente,mi_prinx,LAT,LONG,MAPINFO_ID
-46.602591,-23.630192,D121701805,2223,AV PDE  ARLINDO VIEIRA,,,938,,2017/12/12 00:00:00,3,TERCA-FEIRA,DEZEMBRO,1899/12/30 18:50:00,4,D,,26,8305,B,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,SU1,SU1,SU,68,68,IPIRANGA,,2223,,,,,,,,AT,,-23.630192,-46.602591,12944
-46.672861,-23.526717,D121701817,29035,VD   ANTARTICA,,,1,,2017/12/28 00:00:00,5,QUINTA-FEIRA,DEZEMBRO,1899/12/30 10:26:00,2,D,,23,6830,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NO1,NO1,NO,6,6,LAPA,,1475,,,,,,,,CO,,-23.526717,-46.672861,12945
-46.750743,-23.565085,D121701818,17162,AV  DO RIO PEQUENO,,,500,,2017/12/08 00:00:00,6,SEXTA-FEIRA,DEZEMBRO,1899/12/30 13:02:00,4,D,,93,4846,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,OE2,OE2,OE,67,67,BUTANTA,,17162,,,,,,,,AT,,-23.565085,-46.750743,12946
-46.636999,-23.551943,D121701821,19764,AV   VINTE E TRES DE MAIO,,,400,,2017/12/13 00:00:00,4,QUARTA-FEIRA,DEZEMBRO,1899/12/30 06:45:00,2,D,,5,5058,B,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,CN3,CN3,CN,78,78,SE,,19764,,,,,,,,CO,,-23.551943,-46.636999,12947
-46.75894,-23.548002,D121701822,73690,RUA   EVA TERPINS,,,230,,2017/12/24 00:00:00,1,DOMINGO,DEZEMBRO,1899/12/30 01:28:00,2,D,,93,6997,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,OE2,OE2,OE,41,41,LAPA,,73690,,,,,,,,CH,,-23.548002,-46.75894,12948
-46.634136,-23.540478,D121701827,16593,AV   PRESTES MAIA,,,241,,2017/12/09 00:00:00,7,SABADO,DEZEMBRO,1899/12/30 02:20:00,2,D,,78,11131,,,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,CN3,CN3,CN,66,66,SE,,16593,,,,,,,,CT,,-23.540478,-46.634136,12949
-46.565132,-23.469739,D121701828,17728,AV   SANATORIO,,,645,,2017/12/18 00:00:00,2,SEGUNDA-FEIRA,DEZEMBRO,1899/12/30 21:45:00,2,D,,39,4399,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,CN2,CN2,CN,39,39,JACANA-TREMEMBE,,17728,,,,,,,,CO,,-23.469739,-46.565132,12950
-46.686808,-23.534308,D121701834,18752,RUA   TAVARES BASTOS,,,433,,2017/12/20 00:00:00,4,QUARTA-FEIRA,DEZEMBRO,1899/12/30 10:04:00,4,D,,23,6701,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,NO1,NO1,NO,60,60,LAPA,,18752,,,,,,,,AT,,-23.534308,-46.686808,12951
-46.688179,-23.467585,D121701836,6901,RUA  DO FAROL,,,463,,2017/12/05 00:00:00,3,TERCA-FEIRA,DEZEMBRO,1899/12/30 19:20:00,2,D,,45,9216,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NO2,NO2,NO,11,11,FREGUESIA-BRASILANDIA,,6901,,,,,,,,CH,,-23.467585,-46.688179,12952
-46.62337,-23.556452,D121701839,11794,RUA   LEOPOLDO MIGUEZ,,,500,,2017/12/15 00:00:00,6,SEXTA-FEIRA,DEZEMBRO,1899/12/30 15:50:00,2,D,,6,4691,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,SU1,SU1,SU,14,14,SE,,11794,,,,,,,,CO,,-23.556452,-46.62337,12953
-46.648643,-23.568038,D121701840,15656,AV   PAULISTA,,,509,,2017/12/08 00:00:00,6,SEXTA-FEIRA,DEZEMBRO,1899/12/30 14:50:00,2,D,,78,11753,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,OE1,OE1,OE,7,7,SE,,15656,,,,,,,,CO,,-23.568038,-46.648643,12954
-46.748873,-23.644239,D121701844,46544,AV   CARLOS CALDEIRA FILHO,,,1900,,2017/12/24 00:00:00,1,DOMINGO,DEZEMBRO,1899/12/30 06:33:00,2,D,,37,51,C,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,SO3,SO3,SO,46,46,M'BOI MIRIM,,46544,,,,,,,,CO,,-23.644239,-46.748873,12955
-46.589048,-23.447666,D121701864,16305,AV   ANTONELO DA MESSINA,,,1045,,2017/12/12 00:00:00,3,TERCA-FEIRA,DEZEMBRO,1899/12/30 11:23:00,2,D,,73,13079,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,CN2,CN2,CN,81,81,JACANA-TREMEMBE,,16305,,,,,,,,CO,,-23.447666,-46.589048,12956
-46.670217,-23.585267,D121701866,10517,AV   ANTONIO JOAQUIM DE MOURA ANDRA,,,700,,2017/12/01 00:00:00,6,SEXTA-FEIRA,DEZEMBRO,1899/12/30 22:30:00,2,D,,15,4771,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,SO1,SO1,SO,32,32,VILA MARIANA,,10517,,,,,,,,CO,,-23.585267,-46.670217,12957
-46.601783,-23.617722,D121701869,1247,VIA   ANCHIETA,,,1822,,2017/12/04 00:00:00,2,SEGUNDA-FEIRA,DEZEMBRO,1899/12/30 04:10:00,4,D,,95,8094,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,RV1,RV1,RV1,68,68,IPIRANGA,,1247,,,,,,,,AT,,-23.617722,-46.601783,12958
-46.53607,-23.582273,D121701870,17824,AV   SAPOPEMBA,,,5651,,2017/12/13 00:00:00,4,QUARTA-FEIRA,DEZEMBRO,1899/12/30 19:30:00,4,D,,42,3275,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,SE1,SE1,SE,72,72,VILA PRUDENTE,,17824,,,,,,,,AT,,-23.582273,-46.53607,12959
