id_vitima	id_acidente	id_veiculo	sexo	idade	tipo_vitima	classificacao	tipo_veiculo	estado_alcoolizacao	escolaridade	data
1	D011700078	1	M	62	PD	F	AU	BR	3	NULL
1	D011700079	1	F	22	PS	F	MO	BR	3	NULL
2	D011700079	1	M	21	CD	F	MO	BR	5	NULL
1	D011700080	1	M	24	CD	F	AU	BR	5	NULL
1	D011700081	1	M	9	PD	F	MO	BR	1	NULL
1	D011700082	1	M	16	CD	F	OT	BR	3	NULL
2	D011700082	1	M	16	PS	F	OT	BR	3	NULL
1	D011700083	1	M	37	CD	F	MO	BR	5	NULL
1	D011700084	1	F	21	PD	F	AU	BR	5	NULL
1	D011700085	1	F	68	PD	F	AU	BR	3	NULL
1	D011700086	1	F	36	PS	F	SI	BR	5	NULL
1	D011700087	1	M	48	PD	F	SI	BR	3	NULL
1	D011700088	2	M	52	CD	F	AU	BR	7	NULL
2	D011700088	1	M	52	CD	F	AU	BR	5	NULL
1	D011700089	1	M	28	CD	F	AU	BR	6	NULL
1	D011700090	1	M	19	CD	F	MO	BR	3	NULL
1	D011700091	1	M	64	PD	F	AU	BR	8	NULL
1	D011700092	1	F	66	PD	F	AU	BR	5	NULL
1	D011700093	1	M		CD	F	MO	BR	8	NULL
1	D011700094	1	F	43	CD	F	AU	BR	5	NULL
1	D011700095	1	M	44	CD	F	MO	BR	3	NULL
1	D011700096	2	F	28	SI	F	AU	BR	3	NULL
2	D011700096	1	F	0	PS	F	AU	BR	8	NULL
3	D011700096	1	M	4	PS	F	AU	BR	8	NULL
1	D011700097	2	F	40	CD	F	AU	BR	5	NULL
1	D011700098	1	F	23	PD	F	AU	BR	5	NULL
1	D011700099	1	M	37	CD	F	MO	BR	5	NULL
1	D011700100	1	M	25	PS	F	MO	BR	8	NULL
1	D011700101	1	M	56	CD	F	MO	BR	5	NULL
1	D011700102	1	M	27	CD	F	MO	BR	5	NULL
1	D011700103	1	M	64	PD	F	AU	BR	7	NULL
1	D011700104	1	M	31	CD	F	MO	BR	5	NULL
1	D011700105	1	M	38	PD	F	CM	BR	5	NULL
1	D011700106	1	M	26	PS	F	MO	BR	5	NULL
1	D011700107	2	M	45	CD	F	AU	BR	6	NULL
1	D011700108	1	M	23	CD	F	MO	BR	3	NULL
1	D011700109	1	M	26	CD	F	MO	BR	8	NULL
1	D011700110	1	M	56	CD	F	AU	BR	3	NULL
2	D011700110	2	F	3	PS	F	AU	BR	1	NULL
1	D011700111	1	M	21	CD	F	MO	BR	3	NULL
2	D011700111	3	M	39	CD	F	MO	BR	3	NULL
1	D011700112	1	F	46	PD	F	ON	BR	3	NULL
1	D011700113	1	F	28	PD	F	CM	BR	5	NULL
1	D011700114	1	M	31	CD	F	MO	BR	8	NULL
1	D011700115	2	M	28	CD	F	MO	BR	3	NULL
2	D011700115	2	F	34	PS	F	MO	BR	5	NULL
1	D011700116	1	M	51	CD	F	MO	BR	7	NULL
1	D011700117	1	M	63	PD	F	AU	BR	3	NULL
1	D011700118	1	M	20	CD	F	MO	BR	5	NULL
1	D011700119	1	M	54	CD	F	MO	BR	3	NULL
1	D011700120	1	M	13	CD	F	BI	BR	3	NULL
1	D011700121	1	F	43	PS	F	ON	BR	8	NULL
1	D011700122	1	M	20	CD	F	MO	BR	5	NULL
1	D011700123	1	F	37	CD	F	MO	BR	8	NULL
1	D011700124	1	M	15	PD	F	AU	BR	3	NULL
1	D011700125	1	M	30	PS	F	AU	AA	7	NULL
1	D011700126	1	M	22	CD	F	MO	BR	5	NULL
1	D011700127	1	M	10	PD	M	AU	BR	8	28/01/2017 00:00
1	D011700128	1	M	25	CD	F	MO	BR	5	NULL
1	D011700129	1	F	19	PS	F	MO	BR	3	NULL
2	D011700129	1	M		PD	F	MO	BR	8	NULL
3	D011700129	1	M	24	CD	F	MO	BR	3	NULL
1	D011700130	1	M	27	CD	F	MO	BR	5	NULL
1	D011700131	1	M	29	PS	F	OF	BR	5	NULL
1	D011700132	1	M	33	CD	F	MO	BR	8	NULL
1	D011700133	1	M	25	CD	F	AU	BR	5	NULL
2	D011700133	1	F	22	PS	F	AU	BR	5	NULL
1	D011700134	1	M	65	PD	F	CM	BR	3	NULL
1	D011700135	1	F	21	CD	F	AU	BR	5	NULL
1	D011700136	1	F	65	PD	F	AU	BR	7	NULL
1	D011700137	1	F	54	PS	F	ON	BR	3	NULL
1	D011700138	1	M	29	CD	F	MO	BR	8	NULL
1	D011700139	1	M	26	CD	M	MO	BR	1	01/01/2017 00:00
1	D011700140	1	F	24	CD	F	MO	BR	3	NULL
1	D011700141	1	M	30	CD	F	MO	BR	5	NULL
1	D011700142	1	M	21	PD	F	SI	BR	3	NULL
1	D011700143	1	M	64	PD	M	AU	BR	3	03/02/2017 00:00
1	D011700144	1	F	64	PD	F	MO	BR	3	NULL
2	D011700144	1	M	21	CD	F	MO	BR	5	NULL
3	D011700144	1	M	20	PS	F	MO	BR	3	NULL
1	D011700145	1	M	33	CD	F	MO	BR	2	NULL
1	D011700146	1	M	36	CD	F	MO	BR	5	NULL
1	D011700147	1	M	43	CD	F	MO	BR	5	NULL
1	D011700148	2	M	27	PS	F	AU	BR	8	NULL
2	D011700148	2	M	21	CD	F	AU	SA	6	NULL
1	D011700149	1	M	32	CD	F	MO	BR	7	NULL
1	D011700150	2	M	36	CD	F	AU	BR	5	NULL
1	D011700151	2	M	37	CD	F	BI	BR	5	NULL
1	D011700152	1	F	22	CD	F	MO	BR	5	NULL
1	D011700153	1	F	33	CD	F	AU	BR	7	NULL
2	D011700153	2	M	19	CD	F	AU	BR	6	NULL
1	D011700154	1	F	16	PD	F	ON	BR	4	NULL
