id_acidente	id_vitima	id_veiculo	sexo	idade	tipo_vitima	classificacao	tipo_veiculo	estado_alcoolizacao	escolaridade	data
D011200001	001	01	F	11	PD	F	CM	BR	3	          
D011200002	001	01	M	19	CD	F	AU	BR	5	          
D011200002	002	01	M	23	PS	F	AU	BR	5	          
D011200002	003	01	M	SI	PS	F	AU	BR	8	          
D011200003	001	01	M	26	CD	F	MO	BR	8	          
D011200004	001	01	M	38	CD	F	MO	BR	5	          
D011200005	001	01	M	SI	PD	F	SI	BR	8	          
D011200006	001	01	F	28	CD	F	MO	BR	3	          
D011200006	002	01	M	74	PD	F	MO	BR	3	          
D011200007	001	01	M	64	PD	F	ON	BR	2	          
D011200008	001	01	M	48	PD	F	OU	BR	3	          
D011200009	001	02	F	31	PS	F	CM	BR	8	          
D011200009	002	02	M	07	PS	F	CM	BR	8	          
D011200009	003	02	F	01	PS	F	CM	BR	8	          
D011200009	004	02	M	24	PS	F	CM	BR	3	          
D011200009	005	02	M	36	PS	F	CM	BR	8	          
D011200009	006	02	M	01	PS	F	CM	BR	8	          
D011200010	001	01	M	41	PD	F	SI	BR	3	          
D011200011	001	01	M	SI	SI	F	AU	BR	8	          
D011200012	001	02	M	40	CD	F	MO	BR	3	          
D011200013	001	01	M	15	PS	F	AU	BR	2	          
D011200015	001	01	M	23	CD	F	MO	BR	5	          
D011200016	001	01	M	SI	PD	F	MO	BR	8	          
D011200017	001	02	M	79	CD	F	AU	BR	5	          
D011200018	001	01	F	53	PS	F	OU	BR	3	          
D011200019	001	01	M	08	CD	F	BI	BR	3	          
D011200020	001	01	M	32	CD	F	MO	BR	5	          
D011200020	002	01	X	SI	PD	F	MO	BR	8	          
D011200021	001	01	M	33	PD	F	SI	BR	3	          
D011200022	001	02	M	20	CD	F	MO	BR	3	          
D011200024	001	01	M	57	CD	F	AU	BR	3	          
D011200024	002	02	M	32	CD	F	MO	BR	8	          
D011200024	003	02	X	SI	SI	F	MO	BR	8	          
D011200025	001	01	M	24	CD	F	AU	BR	5	          
D011200025	002	01	M	24	PS	F	AU	BR	5	          
D011200026	001	02	F	18	PS	F	MO	BR	5	          
D011200027	001	01	M	SI	PD	F	SI	BR	8	          
D011200028	001	01	M	28	PD	F	AU	BR	5	          
D011200029	001	01	F	81	PD	F	AU	BR	7	          
D011200030	001	02	M	21	CD	F	MO	BR	5	          
D011200031	001	01	M	53	PD	F	AU	BR	3	          
D011200032	001	02	F	19	PS	F	MO	BR	3	          
D011200033	001	02	M	27	CD	F	MO	BR	7	          
D011200034	001	01	F	21	PD	F	AU	BR	3	          
D011200035	001	01	M	45	PD	F	SI	BR	1	          
D011200036	001	02	M	36	CD	F	MO	BR	7	          
D011200037	001	01	M	24	CD	F	MO	BR	3	          
D011200037	002	01	F	45	PD	F	MO	BR	8	          
D011200038	001	01	M	19	CD	F	MO	BR	8	          
D011200039	001	01	M	54	PD	F	AU	BR	3	          
D011200040	001	01	M	35	CD	F	MO	BR	5	          
D011200041	001	01	M	70	PD	F	MO	BR	3	          
D011200042	001	02	M	32	CD	F	MO	BR	4	          
D011200042	002	02	F	29	PS	F	MO	BR	5	          
D011200043	001	01	M	SI	PD	F	AU	BR	8	          
D011200044	001	01	M	24	PD	F	MO	BR	2	          
D011200045	001	01	M	31	CD	F	AU	AA	5	          
D011200045	002	02	M	SI	CD	F	CM	BR	8	          
D011200045	003	02	M	40	PS	F	CM	BR	7	          
D011200046	001	01	M	34	PD	F	OU	BR	3	          
D011200047	001	01	F	81	PD	F	AU	BR	8	          
D011200048	001	01	F	37	CD	F	AU	BR	5	          
D011200049	001	01	M	27	CD	F	MO	BR	5	          
D011200050	001	01	M	SI	CD	F	MO	BR	8	          
D011200050	002	01	F	SI	PS	F	MO	BR	8	          
D011200051	001	01	M	37	CD	F	AU	AA	3	          
D011200051	002	01	F	21	PS	F	AU	BR	8	          
D011200052	001	01	F	54	PD	F	AU	BR	3	          
D011200053	001	01	F	15	PD	F	OU	BR	3	          
D011200054	001	01	M	31	PD	F	CM	BR	3	          
D011200055	001	01	M	85	PD	F	AU	BR	8	          
D011200056	001	02	M	30	CD	F	MO	BR	4	          
D011200057	001	01	M	62	CD	F	AU	AA	3	          
D011200058	001	02	M	58	CD	F	MO	BR	8	          
D011200059	001	02	M	30	CD	F	MO	BR	5	          
D011200060	001	01	F	20	PS	F	AU	BR	8	          
