id_acidente	id_vitima	id_veiculo	sexo	idade	tipo_vitima	classificacao	tipo_veiculo	estado_alcoolizacao	escolaridade	data
D011000001	001	02	M	28	CD	F	MO	BR	8	          
D011000002	001	02	M	24	PS	F	MO	BR	3	          
D011000003	001	01	M	SI	PD	F	AU	BR	8	          
D011000004	001	01	F	37	PD	F	AU	BR	7	          
D011000005	001	01	M	48	PD	F	MO	BR	3	          
D011000006	001	02	M	35	CD	F	MO	BR	8	          
D011000007	001	02	F	25	PS	F	MO	BR	5	          
D011000008	001	01	M	41	PD	F	AU	SA	3	          
D011000009	001	01	M	44	PD	F	MO	SA	3	          
D011000010	001	02	M	SI	CD	F	CO	BR	8	          
D011000011	001	02	M	36	CD	F	MO	BR	2	          
D011000012	001	01	M	48	PD	F	AU	BR	8	          
D011000013	001	02	M	29	CD	F	MO	BR	3	          
D011000014	001	01	M	30	CD	F	MO	BR	3	          
D011000014	002	01	M	51	PD	F	MO	BR	8	          
D011000015	001	01	M	73	PD	F	AU	BR	3	          
D011000016	001	01	M	67	CD	F	AU	BR	7	          
D011000017	001	01	M	31	CD	F	AU	BR	7	          
D011000018	001	02	M	24	CD	F	MO	BR	3	          
D011000019	001	01	M	18	PD	F	AU	BR	3	          
D011000020	001	02	M	21	CD	F	MO	BR	3	          
D011000021	001	01	M	27	CD	F	MO	BR	5	          
D011000022	001	01	M	26	PD	F	AU	BR	8	          
D011000023	001	02	M	36	CD	F	CA	BR	8	          
D011000024	001	01	M	SI	PD	F	ON	SA	8	          
D011000025	001	02	M	27	CD	F	MO	BR	5	          
D011000026	001	01	F	26	CD	F	AU	BR	7	          
D011000026	002	01	F	30	PS	F	AU	BR	8	          
D011000026	003	01	F	SI	PS	F	AU	BR	8	          
D011000027	001	01	M	24	CD	F	CM	BR	3	          
D011000027	002	01	M	20	PS	F	CM	BR	5	          
D011000027	003	01	F	27	PS	F	CM	BR	5	          
D011000028	001	01	M	18	PD	F	CM	BR	3	          
D011000029	001	01	M	46	PD	F	AU	BR	3	          
D011000030	001	01	F	19	PS	F	AU	BR	3	          
D011000030	002	01	F	19	PS	F	AU	BR	5	          
D011000031	001	01	M	31	CD	F	MO	BR	3	          
D011000031	002	01	M	41	PD	F	MO	BR	5	          
D011000032	001	01	M	45	CD	F	MO	BR	5	          
D011000033	001	01	M	SI	PD	F	AU	BR	8	          
D011000034	001	01	M	21	CD	F	MO	BR	5	          
D011000035	001	01	F	43	CD	F	AU	BR	8	          
D011000036	001	01	F	78	PD	F	MO	BR	2	          
D011000037	001	01	M	20	CD	F	MO	BR	7	          
D011000037	002	01	M	31	SI	F	SI	BR	5	          
D011000038	001	01	M	21	CD	F	AU	BR	5	          
D011000039	001	01	M	31	CD	F	MO	BR	5	          
D011000040	001	01	M	29	CD	F	MO	BR	5	          
D011000041	001	01	F	45	PS	F	AU	BR	8	          
D011000042	001	01	M	23	CD	F	MO	BR	5	          
D011000043	001	02	M	36	CD	F	MO	BR	5	          
D011000044	001	01	M	25	CD	F	MO	BR	5	          
D011000044	002	01	M	82	PD	F	MO	BR	8	          
D011000045	001	01	F	15	PD	F	AU	BR	8	          
D011000046	001	01	M	21	CD	F	MO	BR	5	          
D011000047	001	01	M	30	CD	F	MO	BR	8	          
D011000047	002	02	M	21	CD	F	MO	BR	5	          
D011000047	003	02	M	17	SI	F	MO	BR	3	          
D011000047	004	03	M	28	PS	F	CM	BR	5	          
D011000048	001	01	F	19	PD	F	AU	BR	6	          
D011000049	001	02	M	28	CD	F	MO	BR	7	          
D011000050	001	01	M	40	CD	F	MO	BR	8	          
D011000050	002	01	F	13	PS	F	MO	BR	8	          
D011000051	001	02	M	28	CD	F	AU	BR	6	          
D011000052	001	01	F	67	PS	F	AU	BR	3	          
D011000053	001	01	M	24	CD	F	MO	BR	5	          
D011000053	002	02	M	26	CD	F	MO	BR	5	          
D011000054	001	01	M	32	CD	F	MO	BR	8	          
D011000057	001	02	M	26	CD	F	MO	BR	4	          
D011000058	001	01	M	23	PS	F	AU	BR	8	          
D011000059	001	01	M	30	CD	F	MO	BR	5	          
D011000059	002	01	M	52	PD	F	MO	BR	8	          
D011000060	001	02	M	29	PS	F	AU	BR	5	          
D011000060	002	02	F	33	PS	F	AU	BR	7	          
D011000061	001	02	M	21	CD	F	MO	BR	3	          
D011000062	001	02	M	SI	CD	F	BI	BR	8	          
D011000063	001	01	F	76	PD	F	MO	BR	2	          
D011000064	001	01	M	31	CD	F	AU	BR	5	          
D011000064	002	02	M	24	CD	F	AU	BR	5	          
D011000065	001	01	M	28	CD	F	MO	BR	5	          
D011000065	002	01	M	38	PD	F	MO	BR	5	          
