X,Y,ID_ACIDENT,CADLOGA,CADLOGB,ALT_NUM,REFERENCIA,DATA,HORA,COD_ACID,FONTE,VIATURA,DP,TALAO,SENTIDO,PISTA,VEICULOS,VITIMAS,DEC,DISTRITO,FOLHA,PRINC_A,PRINC_B,PLACA1,TIPO_PLAC1,PLACA2,TIPO_PLAC2,PLACA3,TIPO_PLAC3,TIPO_ACIDE,MI_PRINX
360465.145486397,7400009.21423604,D031700449,43387,,613,,2017/03/07 00:00:00.000,0710,2,D,,50,2433,,,11000000000000000,0200,LE2,36,,43387,,DVU6058,MO,,,,,CO,345572
324165.685084226,7402550.42886954,D031700450,06939,,640,,2017/03/19 00:00:00.000,2340,4,D,,87,1040,,,01000000000000000,0100,NO2,63,,06939,,,,,,,,AT,345573
327604.26711166,7381603.91006816,D031700451,14743,,1330,,2017/03/24 00:00:00.000,1326,2,D,,99,846,,,00101000000100000,0100,SU3,16,,14743,,FXO5010,ON,FAH3387,CM,,,CO,345574
327311.348337564,7368975.17589301,D031700452,47382,,53,,2017/03/03 00:00:00.000,2118,2,D,,25,2048,,,11000000000000000,0100,SU4,30,,47382,,,,,,,,CO,345575
345027.76205429,7391253.09098955,D031700453,09134,67879,,,2017/03/19 00:00:00.000,2310,2,D,,41,2608,B,,01100000000000000,0001,SE1,4,,09134,67879,EXK4668,MO,FEV6201,ON,,,CO,345576
343326.980196939,7396708.64814486,D031700454,07645,,2430,,2017/03/09 00:00:00.000,1930,2,D,,21,2634,,,11000000000000100,0100,SE1,91,,07645,,FAY8834,MO,,,,,SI,345577
326878.240999937,7392521.93507032,D031700455,03733,,45,,2017/03/10 00:00:00.000,0948,4,D,,14,2136,,,01000000000000000,0300,OE1,62,,03733,,DZS6551,MO,,,,,AT,345578
338050.533252803,7400575.9967935,D031700456,05204,,600,,2017/03/07 00:00:00.000,1950,2,D,,09,915,B,,11000000000000000,0100,CN2,89,,05204,,CHL8085,MO,MII3659,AU,,,CO,345579
327868.385688385,7386335.47882724,D031700457,08462,,2000,,2017/03/28 00:00:00.000,1645,2,D,,92,1127,,,11000000000000000,0100,SO1,35,,08462,,FGV4068,MO,FNZ0767,AU,,,CO,345580
324253.34924062,7363731.68750662,D031700458,36031,,509,,2017/03/13 00:00:00.000,0600,4,D,,25,1113,,,10000000000000000,0100,SU4,55,,36031,,CSL3804,AU,,,,,AT,345581
